ensembl	log2FC
ENSG00000187961.15	-0.803631218360398
ENSG00000131584.19	-0.809807521647858
ENSG00000197530.13	-0.630652235360113
ENSG00000158286.13	-0.732746452502256
ENSG00000142733.18	-0.723272045436438
ENSG00000200087.1	-1.19870225074092
ENSG00000274210.1	-0.984240250143062
ENSG00000143630.10	-0.975052407000246
ENSG00000307581.1	-1.6777565355871
ENSG00000171163.16	-0.603862497937656
ENSG00000206633.1	-0.858788688644671
ENSG00000208772.1	-1.1476967671543
ENSG00000290076.1	-0.690556035969448
ENSG00000169429.13	-0.699942243235167
ENSG00000250920.4	-0.957002681139733
ENSG00000236699.9	-0.812520548846984
ENSG00000168556.7	-0.730267298555939
ENSG00000225138.8	-0.623711068575837
ENSG00000290548.2	-0.62849974035882
ENSG00000252213.1	-0.684671164250972
ENSG00000200959.1	-1.05565000997926
ENSG00000164620.9	-0.64561567864884
ENSG00000204681.11	-0.638400558426272
ENSG00000220908.3	-0.690202185921362
ENSG00000118513.21	-0.897639657212435
ENSG00000164877.19	-0.60068366491824
ENSG00000175305.18	-0.729379842031652
ENSG00000179698.14	-1.05401996429797
ENSG00000167702.13	-0.828527521472709
ENSG00000160972.10	-0.662017692139784
ENSG00000198467.16	-1.54457732742176
ENSG00000177943.14	-0.734384067085332
ENSG00000122870.12	-0.902461690169431
ENSG00000255026.2	-1.06891486788267
ENSG00000142102.16	-0.775363107929445
ENSG00000177685.17	-0.703812846760549
ENSG00000149043.17	-0.9639651883382
ENSG00000130598.17	-1.12029288328471
ENSG00000255717.10	-0.61884054176462
ENSG00000168056.18	-0.61281383586057
ENSG00000167799.10	-0.788579456344183
ENSG00000255031.6	-0.954634476951673
ENSG00000111554.15	-0.669285906841326
ENSG00000212443.1	-0.693060439756452
ENSG00000208892.1	-0.946268739319415
ENSG00000175265.19	-0.616395153927872
ENSG00000161996.19	-0.742313339394263
ENSG00000103269.14	-1.09601151122564
ENSG00000197774.14	-0.758279310740299
ENSG00000167968.13	-0.842594322360144
ENSG00000245694.13	-0.726455554133633
ENSG00000256982.4	-0.871997205074905
ENSG00000185324.22	-0.624456730291022
ENSG00000262074.7	-0.79749955587874
ENSG00000263934.5	-0.759700381286627
ENSG00000264940.5	-0.966969495360785
ENSG00000108465.15	-0.639464378615005
ENSG00000108960.9	-0.620036479334229
ENSG00000291117.2	-0.65819744217025
ENSG00000169683.8	-1.07572488308039
ENSG00000105173.14	-0.849616687907609
ENSG00000133247.14	-0.766003001553315
ENSG00000026036.23	-0.957708705127674
ENSG00000101246.20	-0.643445588267902
ENSG00000200792.1	-0.934167202733944
