ensembl_id	ensembl	log2FC	hgnc_symbol
ENSG00000026036	ENSG00000026036.23	-0.957708705127674	RTEL1-TNFRSF6B
ENSG00000101246	ENSG00000101246.20	-0.643445588267902	ARFRP1
ENSG00000103269	ENSG00000103269.14	-1.09601151122564	RHBDL1
ENSG00000105173	ENSG00000105173.14	-0.849616687907609	CCNE1
ENSG00000108465	ENSG00000108465.15	-0.639464378615005	CDK5RAP3
ENSG00000108960	ENSG00000108960.9	-0.620036479334229	MMD
ENSG00000111554	ENSG00000111554.15	-0.669285906841326	MDM1
ENSG00000118513	ENSG00000118513.21	-0.897639657212435	MYB
ENSG00000122870	ENSG00000122870.12	-0.902461690169431	BICC1
ENSG00000130598	ENSG00000130598.17	-1.12029288328471	TNNI2
ENSG00000131584	ENSG00000131584.19	-0.809807521647858	ACAP3
ENSG00000133247	ENSG00000133247.14	-0.766003001553315	KMT5C
ENSG00000142102	ENSG00000142102.16	-0.775363107929445	PGGHG
ENSG00000142733	ENSG00000142733.18	-0.723272045436438	MAP3K6
ENSG00000143630	ENSG00000143630.10	-0.975052407000246	HCN3
ENSG00000149043	ENSG00000149043.17	-0.9639651883382	SYT8
ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207
ENSG00000160972	ENSG00000160972.10	-0.662017692139784	PPP1R16A
ENSG00000161996	ENSG00000161996.19	-0.742313339394263	WDR90
ENSG00000164620	ENSG00000164620.9	-0.64561567864884	RELL2
ENSG00000164877	ENSG00000164877.19	-0.60068366491824	MICALL2
ENSG00000167702	ENSG00000167702.13	-0.828527521472709	KIFC2
ENSG00000167799	ENSG00000167799.10	-0.788579456344183	NUDT8
ENSG00000167968	ENSG00000167968.13	-0.842594322360144	DNASE1L2
ENSG00000168056	ENSG00000168056.18	-0.61281383586057	LTBP3
ENSG00000168556	ENSG00000168556.7	-0.730267298555939	ING2
ENSG00000169429	ENSG00000169429.13	-0.699942243235167	CXCL8
ENSG00000169683	ENSG00000169683.8	-1.07572488308039	LRRC45
ENSG00000171163	ENSG00000171163.16	-0.603862497937656	ZNF692
ENSG00000175265	ENSG00000175265.19	-0.616395153927872	GOLGA8A
ENSG00000175305	ENSG00000175305.18	-0.729379842031652	CCNE2
ENSG00000177685	ENSG00000177685.17	-0.703812846760549	CRACR2B
ENSG00000177943	ENSG00000177943.14	-0.734384067085332	MAMDC4
ENSG00000179698	ENSG00000179698.14	-1.05401996429797	WDR97
ENSG00000185324	ENSG00000185324.22	-0.624456730291022	CDK10
ENSG00000187961	ENSG00000187961.15	-0.803631218360398	KLHL17
ENSG00000197530	ENSG00000197530.13	-0.630652235360113	MIB2
ENSG00000197774	ENSG00000197774.14	-0.758279310740299	EME2
ENSG00000198467	ENSG00000198467.16	-1.54457732742176	TPM2
ENSG00000200087	ENSG00000200087.1	-1.19870225074092	SNORA73B
ENSG00000200792	ENSG00000200792.1	-0.934167202733944	SNORA80A
ENSG00000200959	ENSG00000200959.1	-1.05565000997926	SNORA74A
ENSG00000204681	ENSG00000204681.11	-0.638400558426272	GABBR1
ENSG00000206633	ENSG00000206633.1	-0.858788688644671	SNORA80B
ENSG00000208772	ENSG00000208772.1	-1.1476967671543	SNORD94
ENSG00000208892	ENSG00000208892.1	-0.946268739319415	SNORA49
ENSG00000212443	ENSG00000212443.1	-0.693060439756452	SNORA53
ENSG00000220908	ENSG00000220908.3	-0.690202185921362	LINC02531
ENSG00000225138	ENSG00000225138.8	-0.623711068575837	SLC9A3-AS1
ENSG00000236699	ENSG00000236699.9	-0.812520548846984	ARHGEF38
ENSG00000245694	ENSG00000245694.13	-0.726455554133633	CRNDE
ENSG00000250920	ENSG00000250920.4	-0.957002681139733	ENSG00000250920
ENSG00000252213	ENSG00000252213.1	-0.684671164250972	SNORA74D
ENSG00000255026	ENSG00000255026.2	-1.06891486788267	ENSG00000255026
ENSG00000255031	ENSG00000255031.6	-0.954634476951673	ENSG00000255031
ENSG00000255717	ENSG00000255717.10	-0.61884054176462	SNHG1
ENSG00000256982	ENSG00000256982.4	-0.871997205074905	ENSG00000256982
ENSG00000262074	ENSG00000262074.7	-0.79749955587874	SNORD3B-2
ENSG00000263934	ENSG00000263934.5	-0.759700381286627	SNORD3A
ENSG00000264940	ENSG00000264940.5	-0.966969495360785	SNORD3C
ENSG00000274210	ENSG00000274210.1	-0.984240250143062	RNVU1-27
ENSG00000290076	ENSG00000290076.1	-0.690556035969448	ENSG00000290076
ENSG00000290548	ENSG00000290548.2	-0.62849974035882	ENSG00000290548
ENSG00000291117	ENSG00000291117.2	-0.65819744217025	ENSG00000291117
ENSG00000307581	ENSG00000307581.1	-1.6777565355871	ENSG00000307581
