ensembl	log2FC
LTBP3	-0.72633083223778
WDR76	-0.675459219232051
MIB2	-0.761071362936204
ALS2CL	-0.614939788440188
MAN2C1	-0.66994546431309
ARFRP1	-0.711343520437496
CRACR2B	-0.700135375485829
SLC29A2	-0.666764344494119
ANKRD36C	-0.666514826661834
PPP1R16A	-0.734058540763427
PAXX	-0.754530604655471
DVL1	-0.62553159119634
DGKQ	-0.620778633818958
SGSM3	-0.612263569999462
ZNF692	-0.687735286728033
GOLGA8A	-0.664761853266213
KIAA0895L	-0.622201837614504
KIFC2	-0.844659517521835
NME3	-0.647154344184563
SEMA3B	-0.601069751221887
PNKP	-0.612467052103011
FHOD1	-0.652254915351342
SPTBN5	-0.726693044338596
DUS1L	-0.697715397034374
PGGHG	-0.886743484586972
ACAP3	-0.950441265890481
HDAC10	-0.983004560383318
CASP6	-0.624024832925388
CDK10	-0.660516421158244
CCNE2	-0.743248027765748
ZMYND19	-0.601631307809032
WDR90	-0.922111068101766
OSBPL7	-0.757170424410155
EZH2	-0.622437328981635
MICALL2	-0.615732237245978
MAMDC4	-0.908358549710219
RNF207	-0.805603591303981
