ensembl	log2FC
PKD1	-0.738046705936978
GAS6	-0.612806134123224
FGFRL1	-0.962873703985766
NEURL4	-0.811723973130344
AKT1	-0.866750701963427
TSPAN4	-0.673865029426085
INTS1	-0.632486290555619
TMC6	-0.696365384135984
MYB	-0.971711346931894
ALS2CL	-0.67856664819874
MAP3K6	-1.41857580522813
CCNE1	-0.859301781234539
DVL1	-0.927036624896084
DGKQ	-0.76539406206943
TELO2	-0.929736727832775
MECOM	-0.717295458643954
INPPL1	-0.709211198649402
ARVCF	-0.658463382847268
EFNA5	-0.696238723799292
ITGB8	-0.651077676603891
RXRA	-0.991656716165767
LAMA5	-0.791134399953968
POLE	-0.849333115889928
TONSL	-1.03689779996603
PPM1E	-1.19949132284518
SPTBN5	-0.772513855249613
UVSSA	-0.693211275313496
CENPU	-0.774832155368598
TTYH3	-0.656731485475126
ACAP3	-0.87816678201329
TRAF7	-0.746144079009852
LRRC45	-1.2016018037621
JAG2	-1.03294635987762
WDR90	-1.20058087081243
MICALL2	-0.755562669419
UNC13D	-0.716456438285838
TMPRSS11F	-0.974829817613934
