ensembl	log2FC
TGFBI	0.66796937939314
TPP1	0.702834807458838
CYB5R3	0.730068414001335
CD44	0.679650196213041
MAGED1	0.675124946998213
PSAP	0.631540420425383
NECTIN2	0.697357243635102
HRH1	0.687851479990292
ECE1	0.671653817148365
SLC39A10	0.7805770852221
NDRG1	0.602718297651134
EPHX1	0.755423169300369
APP	0.731778135466158
CCDC124	0.627202450232269
MBOAT7	0.613132649432814
DAG1	0.708596850024219
ZNF185	0.709318162313904
LDLR	0.619540675354766
HLA-C	0.660113835276556
CDC20	0.647395479131695
ITPRIP	0.816381513423653
GANAB	0.671266788331955
CLPTM1	0.612056155131905
ASH2L	0.621407224912583
PRKCSH	0.603299090429489
IGF1R	0.673387020792562
MAN2B2	0.643409855117232
SEPTIN9	0.606580497703848
TUBA1C	0.6158433605935
IL17RD	0.894819527527365
GABPB2	0.620938446224415
PTPRF	0.64479288503721
WBP2	0.676879043051781
PHACTR4	0.603694219195513
SMTN	0.741520653982766
HSPB1	0.644674246642296
CTSD	0.658499142893393
EGR1	0.652295463327169
GRN	0.825681910975062
MYD88	0.720345399682455
NEO1	0.821393226227066
PPP1R10	0.683404143368041
QSOX1	0.63902605806771
SORT1	0.617458019458248
SLC7A1	0.628871193286582
SLC9A1	0.659208126421013
BHLHE40	0.909795512575348
BAG3	0.657780161986713
EPHB2	0.784713820566966
PCK2	0.620969229230056
PLK1	0.665308203987652
EGFR	0.753948693311107
HIP1	0.817129621787477
HSPA5	1.08927618265378
FOSL1	0.836150582838875
LGALS3BP	0.852706056325208
LGMN	0.801385052375852
SF3B4	0.66500965330684
TUBB4B	0.620620757968733
NUCB1	0.929837032226571
PCBP1	0.721325101281026
CHERP	0.627984504762319
HEXIM1	0.826828475344915
PHGDH	0.7225156643788
PALM2AKAP2	0.677307652139999
COPG2	0.602577626944093
NPTXR	1.06209305119709
LAMP3	0.61611792874528
SDC3	0.613531591437443
NCAPD2	0.61791357884203
ZC3H4	0.615943515179347
PPP1R13B	0.651853739747166
PARM1	0.657864344544986
C15orf39	0.643625116559264
NSDHL	0.669276463663044
GTSE1	0.725047414272929
MAP1S	0.731084468852217
PRR11	0.674165344040739
TBC1D16	0.736718367499996
INCENP	0.67301935675011
SLC30A1	0.94563116556929
CDCP1	0.652304774459608
CCDC86	0.852214618405557
EDC3	0.616781787939615
CYP2S1	0.756833517225003
PCDH1	0.656517989090539
CHAMP1	0.816464301047259
TNS4	0.693462352004563
MUC13	0.677698667505411
HK1	0.700507484658162
PRRC2A	0.637590846267507
CKAP2L	0.661248366770984
PTK7	0.686946908397325
SIAE	0.813478714887172
