iter	Passed	Remaining
0	71	35844
1	75	18815
2	83	13833
3	89	11133
4	117	11598
5	126	10374
6	148	10491
7	157	9685
8	164	8961
9	169	8307
10	178	7950
11	185	7537
12	190	7152
13	199	6921
14	205	6655
15	214	6483
16	220	6272
17	224	5999
18	234	5938
19	240	5783
20	247	5647
21	257	5587
22	260	5401
23	269	5342
24	275	5240
25	285	5205
26	292	5116
27	298	5030
28	304	4948
29	307	4824
30	315	4771
31	323	4726
32	339	4807
33	346	4742
34	359	4775
35	367	4740
36	379	4752
37	394	4794
38	402	4761
39	414	4765
40	421	4722
41	430	4690
42	445	4733
43	453	4700
44	462	4679
45	466	4600
46	475	4584
47	482	4540
48	488	4497
49	496	4465
50	502	4425
51	508	4384
52	516	4356
53	525	4343
54	532	4305
55	535	4245
56	545	4243
57	552	4212
58	559	4181
59	565	4149
60	575	4140
61	581	4109
62	588	4078
63	594	4050
64	600	4021
65	607	3992
66	615	3978
67	620	3945
68	627	3922
69	637	3915
70	643	3889
71	653	3882
72	656	3839
73	665	3832
74	669	3791
75	678	3785
76	684	3761
77	691	3739
78	697	3716
79	713	3743
80	719	3721
81	726	3703
82	737	3702
83	743	3682
84	749	3661
85	759	3655
86	765	3633
87	772	3616
88	775	3582
89	785	3576
90	791	3557
91	797	3538
92	807	3533
93	810	3500
94	819	3491
95	825	3473
96	832	3457
97	838	3439
98	841	3408
99	851	3407
100	859	3394
101	865	3378
102	872	3361
103	878	3346
104	887	3337
105	890	3309
106	896	3293
107	906	3288
108	912	3273
109	919	3258
110	928	3253
111	931	3227
112	940	3219
113	946	3204
114	951	3185
115	957	3170
116	964	3155
117	972	3147
118	978	3133
119	982	3109
120	991	3105
121	999	3097
122	1003	3074
123	1012	3070
124	1016	3048
125	1026	3045
126	1029	3023
127	1038	3018
128	1045	3005
129	1051	2992
130	1057	2979
131	1067	2974
132	1073	2961
133	1076	2940
134	1082	2927
135	1092	2923
136	1097	2908
137	1105	2901
138	1111	2886
139	1120	2881
140	1127	2869
141	1133	2857
142	1139	2845
143	1145	2832
144	1152	2820
