source,target,interaction
8,RNF207,loop-gene
29,CLSTN1,loop-gene
71,ECE1,loop-gene
77,EPHB2,loop-gene
78,EPHB2,loop-gene
97,SLC9A1,loop-gene
98,SLC9A1,loop-gene
99,SLC9A1,loop-gene
100,MAP3K6,loop-gene
102,SNORA73B,loop-gene
102,PHACTR4,loop-gene
154,PTPRF,loop-gene
349,TENT5C,loop-gene
354,PHGDH,loop-gene
358,PHGDH,loop-gene
359,PHGDH,loop-gene
366,GABPB2,loop-gene
461,QSOX1,loop-gene
462,QSOX1,loop-gene
471,LAMC2,loop-gene
518,ATP2B4,loop-gene
534,PIGR,loop-gene
535,CR2,loop-gene
550,SLC30A1,loop-gene
551,SLC30A1,loop-gene
552,SLC30A1,loop-gene
553,SLC30A1,loop-gene
583,LINC02474,loop-gene
599,EPHX1,loop-gene
600,EPHX1,loop-gene
611,GALNT2,loop-gene
613,GALNT2,loop-gene
677,AKR1C3,loop-gene
678,AKR1C3,loop-gene
679,AKR1C3,loop-gene
680,AKR1C3,loop-gene
681,AKR1C3,loop-gene
683,AKR1C3,loop-gene
816,BICC1,loop-gene
817,BICC1,loop-gene
818,BICC1,loop-gene
819,BICC1,loop-gene
855,HK1,loop-gene
857,HK1,loop-gene
970,GOT1,loop-gene
976,SCD,loop-gene
977,SCD,loop-gene
978,SCD,loop-gene
1000,ITPRIP,loop-gene
1070,PGGHG,loop-gene
1072,TNNI2,loop-gene
1072,SYT8,loop-gene
1073,TNNI2,loop-gene
1073,SYT8,loop-gene
1074,TNNI2,loop-gene
1074,SYT8,loop-gene
1075,TNNI2,loop-gene
1075,SYT8,loop-gene
1076,SYT8,loop-gene
1077,TNNI2,loop-gene
1077,SYT8,loop-gene
1083,KCNQ1,loop-gene
1084,KCNQ1,loop-gene
1085,KCNQ1,loop-gene
1113,SNORA23,loop-gene
1199,CD44,loop-gene
1202,CD44,loop-gene
1203,CD44,loop-gene
1204,CD44,loop-gene
1205,CD44,loop-gene
1265,CCDC86,loop-gene
1266,CCDC86,loop-gene
1271,SYT7,loop-gene
1326,CAPN5,loop-gene
1379,SESN3,loop-gene
1449,NECTIN1,loop-gene
1467,SIAE,loop-gene
1469,SIAE,loop-gene
1481,ETS1,loop-gene
1482,ETS1,loop-gene
1483,ETS1,loop-gene
1491,APLP2,loop-gene
1492,APLP2,loop-gene
1493,APLP2,loop-gene
1644,TMT1A,loop-gene
1710,MDM1,loop-gene
1796,SNORA53,loop-gene
1797,SNORA53,loop-gene
1803,SLC17A8,loop-gene
1819,CHST11,loop-gene
1821,CHST11,loop-gene
1824,CKAP4,loop-gene
1826,CKAP4,loop-gene
1829,SELPLG,loop-gene
1830,SELPLG,loop-gene
1841,ALDH2,loop-gene
1860,RNFT2,loop-gene
2080,SNORA79B,loop-gene
2081,SNORA79B,loop-gene
2099,PCK2,loop-gene
2100,PCK2,loop-gene
2319,GOLGA8A,loop-gene
2341,CHAC1,loop-gene
2342,CHAC1,loop-gene
2450,NEO1,loop-gene
2451,NEO1,loop-gene
2452,NEO1,loop-gene
2457,SEMA7A,loop-gene
2457,EDC3,loop-gene
2458,SEMA7A,loop-gene
2459,SEMA7A,loop-gene
2461,EDC3,loop-gene
2463,C15orf39,loop-gene
2464,C15orf39,loop-gene
2482,CEMIP,loop-gene
2483,CEMIP,loop-gene
2532,IGF1R,loop-gene
2533,IGF1R,loop-gene
2534,IGF1R,loop-gene
2535,IGF1R,loop-gene
2536,IGF1R,loop-gene
2592,SEZ6L2,loop-gene
2592,EIF3C,loop-gene
2592,PYCARD-AS1,loop-gene
2648,CDH3,loop-gene
2649,CDH3,loop-gene
2651,NOB1,loop-gene
2652,NOB1,loop-gene
2664,FA2H,loop-gene
2665,FA2H,loop-gene
2743,SNORD3B-2,loop-gene
2743,SNORD3C,loop-gene
2743,SNORD3A,loop-gene
2745,SNORD3B-2,loop-gene
2745,SNORD3C,loop-gene
2745,SNORD3A,loop-gene
2800,NR1D1,loop-gene
2802,TNS4,loop-gene
2803,TNS4,loop-gene
2807,JUP,loop-gene
2816,HEXIM1,loop-gene
2823,SP6,loop-gene
2824,CDK5RAP3,loop-gene
2824,SP6,loop-gene
2859,MMD,loop-gene
2861,MMD,loop-gene
2938,SEPTIN9,loop-gene
2944,TBC1D16,loop-gene
2946,TBC1D16,loop-gene
2949,LRRC45,loop-gene
2995,GATA6-AS1,loop-gene
2996,GATA6-AS1,loop-gene
3118,TICAM1,loop-gene
3119,TICAM1,loop-gene
3120,TICAM1,loop-gene
3125,INSR,loop-gene
3126,INSR,loop-gene
3127,INSR,loop-gene
3131,ANGPTL4,loop-gene
3132,ANGPTL4,loop-gene
3143,PRKCSH,loop-gene
3158,TECR,loop-gene
3158,ADGRE5,loop-gene
3178,CCNE1,loop-gene
3207,CYP2S1,loop-gene
3207,TGFB1,loop-gene
3208,CYP2S1,loop-gene
3209,CEACAM5,loop-gene
3210,CEACAM5,loop-gene
3222,CADM4,loop-gene
3225,CADM4,loop-gene
3236,ZC3H4,loop-gene
3236,SLC1A5,loop-gene
3237,SLC1A5,loop-gene
3239,ZC3H4,loop-gene
3240,ZC3H4,loop-gene
3248,NUCB1,loop-gene
3260,MYADM,loop-gene
3261,MYADM,loop-gene
3267,KMT5C,loop-gene
3268,KMT5C,loop-gene
3269,KMT5C,loop-gene
3270,KMT5C,loop-gene
3287,SNORA80B,loop-gene
3289,SNORA80B,loop-gene
3346,LTBP1,loop-gene
3348,LTBP1,loop-gene
3382,ZFP36L2,loop-gene
3383,ZFP36L2,loop-gene
3384,ZFP36L2,loop-gene
3385,ZFP36L2,loop-gene
3386,ZFP36L2,loop-gene
3387,ZFP36L2,loop-gene
3388,ZFP36L2,loop-gene
3389,ZFP36L2,loop-gene
3390,ZFP36L2,loop-gene
3391,ZFP36L2,loop-gene
3481,PCBP1,loop-gene
3482,PCBP1,loop-gene
3484,PCBP1,loop-gene
3523,SNORD94,loop-gene
3569,CKAP2L,loop-gene
3822,ATIC,loop-gene
3823,ATIC,loop-gene
3824,ATIC,loop-gene
3843,SERPINE2,loop-gene
3871,ALPP,loop-gene
4035,JPH2,loop-gene
4114,APP,loop-gene
4165,BACE2,loop-gene
4166,BACE2,loop-gene
4171,PDE9A,loop-gene
4207,KREMEN1,loop-gene
4208,KREMEN1,loop-gene
4210,SF3A1,loop-gene
4210,SMTN,loop-gene
4216,SF3A1,loop-gene
4219,SF3A1,loop-gene
4221,SMTN,loop-gene
4223,SMTN,loop-gene
4255,APOBEC3B,loop-gene
4256,APOBEC3F,loop-gene
4286,GTSE1,loop-gene
4295,BHLHE40,loop-gene
4296,BHLHE40,loop-gene
4305,HRH1,loop-gene
4311,HRH1,loop-gene
4312,HRH1,loop-gene
4380,MYD88,loop-gene
4381,MYD88,loop-gene
4405,CDCP1,loop-gene
4406,CDCP1,loop-gene
4407,CDCP1,loop-gene
4436,PRKCD,loop-gene
4585,MUC13,loop-gene
4589,MUC13,loop-gene
4591,MUC13,loop-gene
4592,MUC13,loop-gene
4593,MUC13,loop-gene
4714,LEKR1,loop-gene
4714,LINC00880,loop-gene
4715,LEKR1,loop-gene
4715,LINC00880,loop-gene
4718,LEKR1,loop-gene
4719,LEKR1,loop-gene
4719,LINC00880,loop-gene
4721,LEKR1,loop-gene
4721,LINC00880,loop-gene
4722,LEKR1,loop-gene
4722,LINC00880,loop-gene
4723,LEKR1,loop-gene
4723,LINC00880,loop-gene
4724,LINC00880,loop-gene
4803,LAMP3,loop-gene
4804,LAMP3,loop-gene
4805,LAMP3,loop-gene
4901,FAM184B,loop-gene
4902,FAM184B,loop-gene
4992,CXCL8,loop-gene
4993,CXCL8,loop-gene
4994,CXCL8,loop-gene
4995,CXCL8,loop-gene
5014,PARM1,loop-gene
5015,PARM1,loop-gene
5016,PARM1,loop-gene
5017,PARM1,loop-gene
5018,PARM1,loop-gene
5019,PARM1,loop-gene
5097,ARHGEF38,loop-gene
5107,GAR1,loop-gene
5122,ANK2,loop-gene
5125,ANK2,loop-gene
5288,ING2,loop-gene
5304,MTNR1A,loop-gene
5305,MTNR1A,loop-gene
5481,F2R,loop-gene
5482,F2R,loop-gene
5483,F2R,loop-gene
5617,TGFBI,loop-gene
5618,TGFBI,loop-gene
5619,TGFBI,loop-gene
5636,PCDH1,loop-gene
5637,PCDH1,loop-gene
5680,SYNPO,loop-gene
5738,SH3PXD2B,loop-gene
5738,SNORA74B,loop-gene
5743,SH3PXD2B,loop-gene
5745,SNORA74B,loop-gene
5746,SNORA74B,loop-gene
5848,GABBR1,loop-gene
5849,HLA-F,loop-gene
5854,TUBB,loop-gene
5856,HLA-C,loop-gene
5856,HLA-B,loop-gene
5857,HLA-C,loop-gene
5857,HLA-B,loop-gene
5897,PTK7,loop-gene
6127,ENPP1,loop-gene
6128,CCN2,loop-gene
6129,CCN2,loop-gene
6130,CCN2,loop-gene
6137,SLC2A12,loop-gene
6138,SLC2A12,loop-gene
6139,SLC2A12,loop-gene
6142,MYB,loop-gene
6202,ULBP1,loop-gene
6404,NACAD,loop-gene
6426,EGFR,loop-gene
6427,EGFR,loop-gene
6439,CLIP2,loop-gene
6440,POR,loop-gene
6441,HSPB1,loop-gene
6504,NPTX2,loop-gene
6505,NPTX2,loop-gene
6597,COPG2,loop-gene
6598,COPG2,loop-gene
6604,PODXL,loop-gene
6738,CLU,loop-gene
6739,CLU,loop-gene
6798,PCMTD1,loop-gene
6897,CCNE2,loop-gene
6968,CCN3,loop-gene
6969,CCN3,loop-gene
6980,ZHX2,loop-gene
6981,ZHX2,loop-gene
6982,ZHX2,loop-gene
7043,VLDLR,loop-gene
7106,TPM2,loop-gene
7156,KIF27,loop-gene
7157,KIF27,loop-gene
7158,KIF27,loop-gene
7159,KIF27,loop-gene
7205,NR4A3,loop-gene
7206,NR4A3,loop-gene
7223,ZNF462,loop-gene
7230,PALM2AKAP2,loop-gene
7231,PALM2AKAP2,loop-gene
7232,PALM2AKAP2,loop-gene
7249,TNC,loop-gene
7251,TNC,loop-gene
7288,HSPA5,loop-gene
7325,NOTCH1,loop-gene
7326,MAMDC4,loop-gene
7360,SRPX,loop-gene
7377,MAGED1,loop-gene
7400,SLC16A2,loop-gene
7401,SLC16A2,loop-gene
7437,ARHGEF6,loop-gene
7471,CLSTN1,loop-gene
7508,ECE1,loop-gene
7512,EPHB2,loop-gene
7513,EPHB2,loop-gene
7514,EPHB2,loop-gene
7539,SNORA73B,loop-gene
7539,PHACTR4,loop-gene
7574,CDCA8,loop-gene
7576,CDCA8,loop-gene
7594,CDC20,loop-gene
7595,CDC20,loop-gene
7595,PTPRF,loop-gene
7596,PTPRF,loop-gene
7597,PTPRF,loop-gene
7767,SORT1,loop-gene
7796,TENT5C,loop-gene
7797,TENT5C,loop-gene
7799,PHGDH,loop-gene
7810,GABPB2,loop-gene
7820,GATAD2B,loop-gene
7821,GATAD2B,loop-gene
7825,IL6R,loop-gene
7937,QSOX1,loop-gene
7938,QSOX1,loop-gene
7939,QSOX1,loop-gene
7948,LAMC2,loop-gene
8002,ATP2B4,loop-gene
8003,ATP2B4,loop-gene
8018,PIGR,loop-gene
8074,LINC02474,loop-gene
8077,LINC02474,loop-gene
8078,LINC02474,loop-gene
8088,EPHX1,loop-gene
8089,EPHX1,loop-gene
8096,GALNT2,loop-gene
8100,GALNT2,loop-gene
8160,AKR1C3,loop-gene
8161,AKR1C3,loop-gene
8181,FAM171A1,loop-gene
8302,BICC1,loop-gene
8303,BICC1,loop-gene
8304,BICC1,loop-gene
8305,BICC1,loop-gene
8306,BICC1,loop-gene
8307,BICC1,loop-gene
8308,BICC1,loop-gene
8309,BICC1,loop-gene
8343,HNRNPH3,loop-gene
8346,HK1,loop-gene
8348,COL13A1,loop-gene
8349,COL13A1,loop-gene
8492,BAG3,loop-gene
8493,BAG3,loop-gene
8514,SYT8,loop-gene
8518,KCNQ1,loop-gene
8519,KCNQ1,loop-gene
8520,KCNQ1,loop-gene
8521,KCNQ1,loop-gene
8547,SNORA23,loop-gene
8548,SNORA23,loop-gene
8550,SNORA23,loop-gene
8551,SNORA23,loop-gene
8636,CD44,loop-gene
8638,CD44,loop-gene
8722,CAPN5,loop-gene
8763,SESN3,loop-gene
8833,NECTIN1,loop-gene
8834,NECTIN1,loop-gene
8835,NECTIN1,loop-gene
8856,SIAE,loop-gene
8864,ETS1,loop-gene
8867,ETS1,loop-gene
8872,APLP2,loop-gene
9061,TMT1A,loop-gene
9120,MDM1,loop-gene
9204,SNORA53,loop-gene
9206,SNORA53,loop-gene
9212,SLC17A8,loop-gene
9213,SLC17A8,loop-gene
9214,SLC17A8,loop-gene
9227,CHST11,loop-gene
9229,CHST11,loop-gene
9236,CKAP4,loop-gene
9343,SLC7A1,loop-gene
9702,LGMN,loop-gene
9703,LGMN,loop-gene
9766,CHAC1,loop-gene
9770,CHAC1,loop-gene
