gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000290825	0.280935580080021	-2.42258691388394	4.904300469049	-0.493971959746934	0.621325982588644	NA
ENSG00000223972	0	NA	NA	NA	NA	NA
ENSG00000310526	227.447544913659	-0.189164773474888	0.321655856412611	-0.588096780156966	0.556467334222522	0.806728957504653
ENSG00000227232	0	NA	NA	NA	NA	NA
ENSG00000278267	0	NA	NA	NA	NA	NA
ENSG00000243485	0.867130439782916	-1.25585264439956	4.6978373260973	-0.267325698449174	0.789218402019762	NA
ENSG00000284332	0	NA	NA	NA	NA	NA
ENSG00000237613	0	NA	NA	NA	NA	NA
ENSG00000308361	0.207974359801854	0	4.9974549951827	0	1	NA
ENSG00000290826	0	NA	NA	NA	NA	NA
ENSG00000268020	0	NA	NA	NA	NA	NA
ENSG00000240361	0	NA	NA	NA	NA	NA
ENSG00000186092	0	NA	NA	NA	NA	NA
ENSG00000241860	20.11649122743	-0.166322482293734	1.11459891390322	-0.149221823401288	0.881378600198982	NA
ENSG00000239945	0	NA	NA	NA	NA	NA
ENSG00000308314	0	NA	NA	NA	NA	NA
ENSG00000233750	0	NA	NA	NA	NA	NA
ENSG00000308579	7.01068626322899	-1.9551912471512	1.73549759273489	-1.12658827954356	0.259916596811381	NA
ENSG00000268903	0	NA	NA	NA	NA	NA
ENSG00000269981	2.44823418392893	1.3036939959198	2.96384181247624	0.4398662541408	0.660033978253199	NA
ENSG00000239906	0	NA	NA	NA	NA	NA
ENSG00000310528	0	NA	NA	NA	NA	NA
ENSG00000222623	0.176297716574418	-1.68987838801106	4.97856628623961	-0.339430729823114	0.734285272149012	NA
ENSG00000241599	0	NA	NA	NA	NA	NA
ENSG00000308415	0	NA	NA	NA	NA	NA
ENSG00000310527	167.916837009202	-0.39200970411084	0.297559037230373	-1.31741824331601	0.187698469125213	NA
ENSG00000279928	0	NA	NA	NA	NA	NA
ENSG00000279457	0	NA	NA	NA	NA	NA
ENSG00000273874	0	NA	NA	NA	NA	NA
ENSG00000308625	0	NA	NA	NA	NA	NA
ENSG00000308544	0	NA	NA	NA	NA	NA
ENSG00000292994	70.688703099912	-0.0248064265283171	0.520542885166841	-0.0476549141966781	0.961991266507924	NA
ENSG00000228463	0	NA	NA	NA	NA	NA
ENSG00000306775	0	NA	NA	NA	NA	NA
ENSG00000286448	0	NA	NA	NA	NA	NA
ENSG00000236679	0	NA	NA	NA	NA	NA
ENSG00000236601	0.282214356003559	2.28801851308187	4.89426592077406	0.467489619509683	0.640149617151765	NA
ENSG00000290385	60.713864035639	-0.340323345448517	0.568507157248132	-0.598626316502078	0.549422102870074	NA
ENSG00000269732	0	NA	NA	NA	NA	NA
ENSG00000284733	0	NA	NA	NA	NA	NA
ENSG00000237094	0	NA	NA	NA	NA	NA
ENSG00000233653	0	NA	NA	NA	NA	NA
ENSG00000250575	0	NA	NA	NA	NA	NA
ENSG00000278757	0	NA	NA	NA	NA	NA
ENSG00000293331	30.6556817082858	1.08950281635276	1.00051795088581	1.08893879953694	0.276180874869442	NA
ENSG00000225880	1000.01419254521	-0.0849431506139284	0.206187532569558	-0.411970353179684	0.68036115331335	0.873643231243417
ENSG00000235146	7.1667588089289	0.553186991106064	1.59089389859016	0.347720857812262	0.728049830772556	NA
ENSG00000225972	0.634809789152396	-0.304806598104182	4.77655610267596	-0.0638130467960841	0.949119089592533	NA
ENSG00000225630	16.5088276985857	0.786323333070703	1.11659513239337	0.704215261430754	0.481298728266995	NA
ENSG00000237973	12.0539838468438	0.149479712304205	1.24454926104969	0.120107509587952	0.904397983667624	NA
ENSG00000278791	3.2690171425401	0	3.32124602404845	0	1	NA
ENSG00000229344	0	NA	NA	NA	NA	NA
ENSG00000240409	0	NA	NA	NA	NA	NA
ENSG00000248527	36.6240336200812	0.639758076526137	0.689098494077363	0.928398599075031	0.353200844958931	NA
ENSG00000198744	0	NA	NA	NA	NA	NA
ENSG00000268663	0	NA	NA	NA	NA	NA
ENSG00000284662	0	NA	NA	NA	NA	NA
ENSG00000230021	0	NA	NA	NA	NA	NA
