ensembl	log2FC
ENSG00000310526.1	-2.54295695428235
ENSG00000310527.1	-2.55217603613185
ENSG00000237491.11	-0.695395328418316
ENSG00000228794.13	-1.2178204771834
ENSG00000187961.15	-0.603888913269885
ENSG00000272512.1	-1.48812953165143
ENSG00000188290.11	-0.62184733767302
ENSG00000304119.1	-1.01477952126277
ENSG00000237330.3	-2.65944990632888
ENSG00000207730.3	-2.43446187192919
ENSG00000207607.3	-3.2736912691274
ENSG00000198976.1	-3.44560420630025
ENSG00000272141.1	-3.6659992067575
ENSG00000176022.7	-1.67407816604992
ENSG00000160087.21	-1.60833200920823
ENSG00000131584.19	-0.743825207329362
ENSG00000169972.13	-0.938161536201243
ENSG00000224870.10	-2.39462365837976
ENSG00000242485.6	-0.612722535821637
ENSG00000160072.20	-0.853563579499493
ENSG00000272106.1	-2.98842724253297
ENSG00000231050.4	-2.07975535784113
ENSG00000142609.20	-1.35005534301433
ENSG00000287356.2	-1.11387254158096
ENSG00000157881.16	-1.07348342298752
ENSG00000287828.2	-1.55009600628126
ENSG00000116213.16	-1.07428999402955
ENSG00000078900.16	-1.20448737341246
ENSG00000169598.17	-2.33917313379664
ENSG00000198912.12	-1.07386707823381
ENSG00000236423.9	-1.34062821638511
ENSG00000302287.1	-5.0993948936618
ENSG00000069424.16	-0.623049168012296
ENSG00000158292.7	-0.78542680213808
ENSG00000271746.1	-4.72421907152712
ENSG00000215788.11	-1.36164020502883
ENSG00000299253.1	-4.55636153848031
ENSG00000162408.11	-0.601784773959671
ENSG00000204859.13	-1.10525056684675
ENSG00000162413.17	-2.79844479568448
ENSG00000041988.16	-0.694502917189967
ENSG00000007923.17	-0.642787747737857
ENSG00000269925.1	-2.35527016611948
ENSG00000116285.13	-2.50506859199047
ENSG00000274258.1	-3.10093257254097
ENSG00000180758.12	-0.90760475419066
ENSG00000228526.9	-3.39942559773613
ENSG00000289914.2	-4.33487019244694
ENSG00000302015.1	-4.90113832915225
ENSG00000234546.6	-0.994059179841135
ENSG00000231181.1	-2.32170212694156
ENSG00000188807.13	-0.925341054691793
ENSG00000228150.2	-1.46527098914974
ENSG00000202415.1	-4.07105644758986
ENSG00000199562.1	-2.92248467241356
ENSG00000142655.13	-0.610309488604757
ENSG00000130940.15	-0.634288372294009
ENSG00000120948.19	-0.755356244241098
ENSG00000116649.10	-1.02032803735681
ENSG00000171824.14	-1.16082618988666
ENSG00000120942.14	-1.37700739249096
ENSG00000201801.1	-1.98396196040887
ENSG00000116691.11	-0.870918823770402
ENSG00000048707.15	-0.643125967537494
ENSG00000289380.1	-1.40058493164946
ENSG00000175147.13	-0.888617683549169
ENSG00000171729.14	-1.71538043757481
ENSG00000116809.12	-1.71470282434599
ENSG00000227959.3	-1.51260018422218
ENSG00000142632.17	-0.849312047297929
ENSG00000037637.11	-0.679912131724551
ENSG00000206652.1	-2.63232017964735
ENSG00000291072.2	-1.88364595412792
ENSG00000215908.12	-3.95723137203565
ENSG00000207005.1	-2.56091719108418
ENSG00000290122.2	-1.27485099632645
ENSG00000204362.7	-5.72282738773679
ENSG00000142623.11	-1.52923939777482
ENSG00000159339.13	-2.29950198146928
ENSG00000179051.14	-0.664101853161802
ENSG00000306620.1	-2.03949242606165
ENSG00000074964.17	-1.08996737298966
ENSG00000179023.9	-1.54217277102511
ENSG00000169991.11	-0.750863039607616
ENSG00000230424.4	-0.940733530888195
ENSG00000053372.5	-0.719923481007857
ENSG00000200403.1	-3.68369273302959
ENSG00000040487.13	-1.34227267254262
ENSG00000226396.1	-0.862729266031462
