gene_id	log2FoldChange
ENSG00000187961	-0.803631218360398
ENSG00000131584	-0.809807521647858
ENSG00000197530	-0.630652235360113
ENSG00000158286	-0.732746452502256
ENSG00000215788	-0.623764142145433
ENSG00000142733	-0.723272045436438
ENSG00000200087	-1.19870225074092
ENSG00000274210	-0.984240250143062
ENSG00000143630	-0.975052407000246
ENSG00000307581	-1.6777565355871
ENSG00000228437	-0.72156739489463
ENSG00000287315	-0.656514472534645
ENSG00000171163	-0.603862497937656
ENSG00000206633	-0.858788688644671
ENSG00000208772	-1.1476967671543
ENSG00000251791	-0.902247177055197
ENSG00000290076	-0.690556035969448
ENSG00000197980	-0.833994398221468
ENSG00000169429	-0.699942243235167
ENSG00000250920	-0.957002681139733
ENSG00000236699	-0.812520548846984
ENSG00000168556	-0.730267298555939
ENSG00000225138	-0.623711068575837
ENSG00000290548	-0.62849974035882
ENSG00000252213	-0.684671164250972
ENSG00000200959	-1.05565000997926
ENSG00000164620	-0.64561567864884
ENSG00000212402	-0.929128213669534
ENSG00000204681	-0.638400558426272
ENSG00000135338	-0.901047721791119
ENSG00000220908	-0.690202185921362
ENSG00000118513	-0.897639657212435
ENSG00000164877	-0.60068366491824
ENSG00000266019	-1.18341417211289
ENSG00000168300	-0.608552175407271
ENSG00000175305	-0.729379842031652
ENSG00000179698	-1.05401996429797
ENSG00000167702	-0.828527521472709
ENSG00000160972	-0.662017692139784
ENSG00000198467	-1.54457732742176
ENSG00000165115	-0.629223569252492
ENSG00000177943	-0.734384067085332
ENSG00000122870	-0.902461690169431
ENSG00000255026	-1.06891486788267
ENSG00000142102	-0.775363107929445
ENSG00000177685	-0.703812846760549
ENSG00000149043	-0.9639651883382
ENSG00000130598	-1.12029288328471
ENSG00000201998	-1.0882017773293
ENSG00000255717	-0.61884054176462
ENSG00000168056	-0.61281383586057
ENSG00000167799	-0.788579456344183
ENSG00000255031	-0.954634476951673
ENSG00000111554	-0.669285906841326
ENSG00000212443	-0.693060439756452
ENSG00000208892	-0.946268739319415
ENSG00000222489	-0.642007127710079
ENSG00000175265	-0.616395153927872
ENSG00000161996	-0.742313339394263
ENSG00000103269	-1.09601151122564
ENSG00000197774	-0.758279310740299
ENSG00000167968	-0.842594322360144
ENSG00000245694	-0.726455554133633
ENSG00000256982	-0.871997205074905
ENSG00000185324	-0.624456730291022
ENSG00000179029	-0.606905142513542
ENSG00000262074	-0.79749955587874
ENSG00000263934	-0.759700381286627
ENSG00000264940	-0.966969495360785
ENSG00000108465	-0.639464378615005
ENSG00000108960	-0.620036479334229
ENSG00000291117	-0.65819744217025
ENSG00000169683	-1.07572488308039
ENSG00000266010	-0.821175021923018
ENSG00000105173	-0.849616687907609
ENSG00000133247	-0.766003001553315
ENSG00000291100	-0.647278787679729
ENSG00000226332	-0.83759251521636
ENSG00000026036	-0.957708705127674
ENSG00000101246	-0.643445588267902
ENSG00000197114	-0.648379960367716
ENSG00000200792	-0.934167202733944
