Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Positive Regulation of Long-Term Synaptic Potentiation (GO:1900273)	3/14	3.524811e-05	2.266025e-02	0	0	5.962537e+01	6.113448e+02	APP;EPHB2;LGMN
GO_Biological_Process_2025	Neuron Projection Organization (GO:0106027)	3/17	6.517809e-05	2.266025e-02	0	0	4.684144e+01	4.514760e+02	APP;EPHB2;LGMN
GO_Biological_Process_2025	Regulation of Receptor Recycling (GO:0001919)	3/17	6.517809e-05	2.266025e-02	0	0	4.684144e+01	4.514760e+02	ECE1;LDLR;TBC1D16
GO_Biological_Process_2025	Transport Along Microtubule (GO:0010970)	3/20	1.081578e-04	2.338751e-02	0	0	3.856949e+01	3.522135e+02	APP;BAG3;COPG2
GO_Biological_Process_2025	Regulation of Apoptotic Process (GO:0042981)	12/704	1.121166e-04	2.338751e-02	0	0	4.063302e+00	3.695968e+01	APP;EGR1;HIP1;HSPA5;MAGED1;BAG3;PLK1;HSPB1;CTSD;EGFR;CD44;IGF1R
GO_Biological_Process_2025	Positive Regulation of Interleukin-1 Beta Production (GO:0032731)	4/56	1.393834e-04	2.422948e-02	0	0	1.696923e+01	1.506576e+02	APP;EGR1;HSPB1;MYD88
GO_Biological_Process_2025	Cellular Response to Low-Density Lipoprotein Particle Stimulus (GO:0071404)	3/25	2.145291e-04	2.504795e-02	0	0	2.979620e+01	2.516905e+02	APP;LDLR;MYD88
GO_Biological_Process_2025	Positive Regulation of Interleukin-1 Production (GO:0032732)	4/63	2.204488e-04	2.504795e-02	0	0	1.495066e+01	1.258822e+02	APP;EGR1;HSPB1;MYD88
GO_Biological_Process_2025	Dendritic Spine Organization (GO:0097061)	3/26	2.416872e-04	2.504795e-02	0	0	2.849928e+01	2.373382e+02	EPHB2;IGF1R;LGMN
GO_Biological_Process_2025	Regulation of miRNA Transcription (GO:1902893)	4/66	2.638791e-04	2.504795e-02	0	0	1.422509e+01	1.172150e+02	FOSL1;APP;EGR1;EGFR
GO_Biological_Process_2025	Positive Regulation of Synaptic Plasticity (GO:0031915)	2/6	3.238299e-04	2.504795e-02	0	0	1.081630e+02	8.691217e+02	CDC20;EPHB2
GO_Biological_Process_2025	Lipoprotein Metabolic Process (GO:0042157)	2/6	3.238299e-04	2.504795e-02	0	0	1.081630e+02	8.691217e+02	APP;CTSD
GO_Biological_Process_2025	Metaphase/Anaphase Transition of Cell Cycle (GO:0044784)	2/6	3.238299e-04	2.504795e-02	0	0	1.081630e+02	8.691217e+02	CDC20;PLK1
GO_Biological_Process_2025	Regulation of Long-Term Synaptic Potentiation (GO:1900271)	3/29	3.362141e-04	2.504795e-02	0	0	2.520710e+01	2.016004e+02	APP;EPHB2;LGMN
GO_Biological_Process_2025	Negative Regulation of Apoptotic Process (GO:0043066)	9/475	3.973352e-04	2.762804e-02	0	0	4.417066e+00	3.458886e+01	GRN;HSPA5;BAG3;PLK1;HSPB1;EGFR;CD44;LGMN;IGF1R
GO_Biological_Process_2025	Negative Regulation of Microglial Cell Activation (GO:1903979)	2/7	4.519745e-04	2.946309e-02	0	0	8.652609e+01	6.664140e+02	GRN;LDLR
