Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Gastric cancer	2/149	3.097094e-02	3.352682e-01	0	0	7.703013e+00	2.676570e+01	CCNE2;DVL1
KEGG_2021_Human	Other glycan degradation	1/18	3.279501e-02	3.352682e-01	0	0	3.259150e+01	1.113808e+02	MAN2C1
KEGG_2021_Human	Cushing syndrome	2/155	3.329416e-02	3.352682e-01	0	0	7.398693e+00	2.517311e+01	CCNE2;DVL1
KEGG_2021_Human	Alcoholism	2/186	4.632148e-02	3.352682e-01	0	0	6.142547e+00	1.887082e+01	HDAC10;SLC29A2
KEGG_2021_Human	Viral carcinogenesis	2/203	5.413955e-02	3.352682e-01	0	0	5.618195e+00	1.638372e+01	CCNE2;HDAC10
KEGG_2021_Human	Lipid and atherosclerosis	2/215	5.992101e-02	3.352682e-01	0	0	5.298457e+00	1.491372e+01	CASP6;MIB2
KEGG_2021_Human	Pyrimidine metabolism	1/56	9.862921e-02	3.352682e-01	0	0	1.005455e+01	2.329023e+01	NME3
KEGG_2021_Human	Notch signaling pathway	1/59	1.036368e-01	3.352682e-01	0	0	9.533046e+00	2.161011e+01	DVL1
KEGG_2021_Human	Glycerolipid metabolism	1/61	1.069602e-01	3.352682e-01	0	0	9.214352e+00	2.059683e+01	DGKQ
KEGG_2021_Human	Lysine degradation	1/63	1.102715e-01	3.352682e-01	0	0	8.916219e+00	1.965857e+01	EZH2
KEGG_2021_Human	Basal cell carcinoma	1/63	1.102715e-01	3.352682e-01	0	0	8.916219e+00	1.965857e+01	DVL1
KEGG_2021_Human	MicroRNAs in cancer	2/310	1.120299e-01	3.352682e-01	0	0	3.646568e+00	7.982299e+00	CCNE2;EZH2
KEGG_2021_Human	Human papillomavirus infection	2/331	1.247689e-01	3.352682e-01	0	0	3.410161e+00	7.097540e+00	CCNE2;DVL1
KEGG_2021_Human	p53 signaling pathway	1/73	1.266499e-01	3.352682e-01	0	0	7.673997e+00	1.585700e+01	CCNE2
KEGG_2021_Human	Small cell lung cancer	1/92	1.569646e-01	3.352682e-01	0	0	6.065934e+00	1.123250e+01	CCNE2
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	1.647704e-01	3.352682e-01	0	0	5.748553e+00	1.036581e+01	DGKQ
KEGG_2021_Human	Prostate cancer	1/97	1.647704e-01	3.352682e-01	0	0	5.748553e+00	1.036581e+01	CCNE2
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	1.663231e-01	3.352682e-01	0	0	5.689003e+00	1.020507e+01	DGKQ
KEGG_2021_Human	Choline metabolism in cancer	1/98	1.663231e-01	3.352682e-01	0	0	5.689003e+00	1.020507e+01	DGKQ
KEGG_2021_Human	Melanogenesis	1/101	1.709644e-01	3.352682e-01	0	0	5.517500e+00	9.745561e+00	DVL1
KEGG_2021_Human	Drug metabolism	1/108	1.816965e-01	3.352682e-01	0	0	5.154725e+00	8.790960e+00	NME3
KEGG_2021_Human	Cell cycle	1/124	2.057218e-01	3.352682e-01	0	0	4.480578e+00	7.084826e+00	CCNE2
KEGG_2021_Human	Purine metabolism	1/129	2.130880e-01	3.352682e-01	0	0	4.304470e+00	6.654927e+00	NME3
KEGG_2021_Human	Oocyte meiosis	1/129	2.130880e-01	3.352682e-01	0	0	4.304470e+00	6.654927e+00	CCNE2
KEGG_2021_Human	Measles	1/139	2.276215e-01	3.352682e-01	0	0	3.990539e+00	5.906283e+00	CCNE2
KEGG_2021_Human	Apoptosis	1/142	2.319303e-01	3.352682e-01	0	0	3.905043e+00	5.706511e+00	CASP6
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	1/143	2.333614e-01	3.352682e-01	0	0	3.877347e+00	5.642187e+00	DVL1
KEGG_2021_Human	Breast cancer	1/147	2.390599e-01	3.352682e-01	0	0	3.770358e+00	5.395537e+00	DVL1
KEGG_2021_Human	Phospholipase D signaling pathway	1/148	2.404780e-01	3.352682e-01	0	0	3.744520e+00	5.336415e+00	DGKQ
KEGG_2021_Human	mTOR signaling pathway	1/154	2.489332e-01	3.352682e-01	0	0	3.596587e+00	5.001309e+00	DVL1
KEGG_2021_Human	Cellular senescence	1/156	2.517311e-01	3.352682e-01	0	0	3.549821e+00	4.896601e+00	CCNE2
KEGG_2021_Human	Pathways in cancer	2/531	2.576218e-01	3.352682e-01	0	0	2.099271e+00	2.847162e+00	CCNE2;DVL1
KEGG_2021_Human	Hepatitis B	1/162	2.600643e-01	3.352682e-01	0	0	3.416494e+00	4.601424e+00	CCNE2
KEGG_2021_Human	Hippo signaling pathway	1/163	2.614444e-01	3.352682e-01	0	0	3.395233e+00	4.554820e+00	DVL1
KEGG_2021_Human	Wnt signaling pathway	1/166	2.655695e-01	3.352682e-01	0	0	3.332997e+00	4.419149e+00	DVL1
KEGG_2021_Human	Hepatocellular carcinoma	1/168	2.683072e-01	3.352682e-01	0	0	3.292748e+00	4.332014e+00	DVL1
KEGG_2021_Human	Tight junction	1/169	2.696723e-01	3.352682e-01	0	0	3.272983e+00	4.289401e+00	MICALL2
KEGG_2021_Human	Axon guidance	1/182	2.871946e-01	3.476566e-01	0	0	3.035912e+00	3.787589e+00	SEMA3B
KEGG_2021_Human	Neutrophil extracellular trap formation	1/189	2.964596e-01	3.496703e-01	0	0	2.921838e+00	3.552501e+00	HDAC10
KEGG_2021_Human	Epstein-Barr virus infection	1/202	3.133561e-01	3.603595e-01	0	0	2.731067e+00	3.169171e+00	CCNE2
