Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hypoxia	7/200	4.418768e-05	8.395658e-04	0	0	8.218153e+00	8.240395e+01	HSPA5;BHLHE40;SDC3;TGFBI;NDRG1;EGFR;HK1
MSigDB_Hallmark_2020	Glycolysis	7/200	4.418768e-05	8.395658e-04	0	0	8.218153e+00	8.240395e+01	NSDHL;HSPA5;SDC3;QSOX1;TGFBI;EGFR;CD44
MSigDB_Hallmark_2020	mTORC1 Signaling	6/200	3.638745e-04	4.609077e-03	0	0	6.927835e+00	5.485946e+01	HSPA5;BHLHE40;PLK1;PHGDH;LDLR;LGMN
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	5/199	2.488059e-03	1.380228e-02	0	0	5.708329e+00	3.422858e+01	CDCP1;BHLHE40;NDRG1;CD44;IGF1R
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	5/200	2.542525e-03	1.380228e-02	0	0	5.678767e+00	3.392835e+01	FOSL1;EGR1;BHLHE40;LDLR;CD44
MSigDB_Hallmark_2020	Apical Junction	5/200	2.542525e-03	1.380228e-02	0	0	5.678767e+00	3.392835e+01	SDC3;TGFBI;PCDH1;EGFR;NECTIN2
MSigDB_Hallmark_2020	p53 Pathway	5/200	2.542525e-03	1.380228e-02	0	0	5.678767e+00	3.392835e+01	HEXIM1;APP;EPHX1;NDRG1;CTSD
MSigDB_Hallmark_2020	UV Response Dn	4/144	4.763022e-03	2.162414e-02	0	0	6.274921e+00	3.355120e+01	BHLHE40;SLC7A1;LDLR;IGF1R
MSigDB_Hallmark_2020	Cholesterol Homeostasis	3/74	5.121507e-03	2.162414e-02	0	0	9.209875e+00	4.857570e+01	NSDHL;LDLR;LGMN
MSigDB_Hallmark_2020	Interferon Alpha Response	3/97	1.078156e-02	3.994015e-02	0	0	6.948328e+00	3.147535e+01	LGALS3BP;LAMP3;HLA-C
MSigDB_Hallmark_2020	Mitotic Spindle	4/199	1.447135e-02	3.994015e-02	0	0	4.492536e+00	1.902851e+01	INCENP;MAP1S;PLK1;SEPTIN9
MSigDB_Hallmark_2020	G2-M Checkpoint	4/200	1.471479e-02	3.994015e-02	0	0	4.469388e+00	1.885591e+01	CDC20;INCENP;PLK1;SLC7A1
MSigDB_Hallmark_2020	Estrogen Response Early	4/200	1.471479e-02	3.994015e-02	0	0	4.469388e+00	1.885591e+01	ZNF185;BHLHE40;CD44;IGF1R
MSigDB_Hallmark_2020	Inflammatory Response	4/200	1.471479e-02	3.994015e-02	0	0	4.469388e+00	1.885591e+01	HRH1;LAMP3;SLC7A1;LDLR
MSigDB_Hallmark_2020	Apical Surface	2/44	1.819010e-02	4.608158e-02	0	0	1.028157e+01	4.119701e+01	APP;HSPB1
MSigDB_Hallmark_2020	Apoptosis	3/161	4.033201e-02	9.578853e-02	0	0	4.120462e+00	1.322919e+01	APP;HSPB1;CD44
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2/87	6.322100e-02	1.234940e-01	0	0	5.069309e+00	1.399697e+01	CD44;MYD88
MSigDB_Hallmark_2020	Myogenesis	3/200	6.824670e-02	1.234940e-01	0	0	3.298209e+00	8.854459e+00	APP;SMTN;BHLHE40
MSigDB_Hallmark_2020	Complement	3/200	6.824670e-02	1.234940e-01	0	0	3.298209e+00	8.854459e+00	HSPA5;CTSD;LGMN
MSigDB_Hallmark_2020	E2F Targets	3/200	6.824670e-02	1.234940e-01	0	0	3.298209e+00	8.854459e+00	CDC20;PLK1;NCAPD2
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	3/200	6.824670e-02	1.234940e-01	0	0	3.298209e+00	8.854459e+00	QSOX1;TGFBI;CD44
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	8.747129e-02	1.510868e-01	0	0	4.179612e+00	1.018339e+01	EGFR;MYD88
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	9.901023e-02	1.635821e-01	0	0	3.876812e+00	8.965251e+00	HSPA5;BAG3
MSigDB_Hallmark_2020	Angiogenesis	1/36	1.561220e-01	2.471932e-01	0	0	6.104762e+00	1.133726e+01	APP
MSigDB_Hallmark_2020	Fatty Acid Metabolism	2/158	1.701532e-01	2.486855e-01	0	0	2.752230e+00	4.874353e+00	NSDHL;EPHX1
MSigDB_Hallmark_2020	UV Response Up	2/158	1.701532e-01	2.486855e-01	0	0	2.752230e+00	4.874353e+00	EPHX1;NPTXR
MSigDB_Hallmark_2020	Myc Targets V2	1/58	2.393889e-01	2.966519e-01	0	0	3.744388e+00	5.353224e+00	PLK1
MSigDB_Hallmark_2020	Estrogen Response Late	2/200	2.420055e-01	2.966519e-01	0	0	2.163812e+00	3.070006e+00	CDC20;CD44
MSigDB_Hallmark_2020	Interferon Gamma Response	2/200	2.420055e-01	2.966519e-01	0	0	2.163812e+00	3.070006e+00	LGALS3BP;MYD88
MSigDB_Hallmark_2020	Myc Targets V1	2/200	2.420055e-01	2.966519e-01	0	0	2.163812e+00	3.070006e+00	CDC20;PCBP1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2/200	2.420055e-01	2.966519e-01	0	0	2.163812e+00	3.070006e+00	CYP2S1;EPHX1
MSigDB_Hallmark_2020	Protein Secretion	1/96	3.644998e-01	4.328435e-01	0	0	2.242332e+00	2.263027e+00	EGFR
MSigDB_Hallmark_2020	Androgen Response	1/100	3.764209e-01	4.334544e-01	0	0	2.151298e+00	2.101920e+00	NDRG1
MSigDB_Hallmark_2020	Coagulation	1/138	4.791900e-01	5.355653e-01	0	0	1.551605e+00	1.141451e+00	LGMN
MSigDB_Hallmark_2020	Oxidative Phosphorylation	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	CYB5R3
MSigDB_Hallmark_2020	heme Metabolism	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	SLC30A1
MSigDB_Hallmark_2020	Allograft Rejection	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	EGFR
MSigDB_Hallmark_2020	KRAS Signaling Up	1/200	6.120753e-01	6.120753e-01	0	0	1.064840e+00	5.227301e-01	EPHB2
