Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	EML4 and NUDC in Mitotic Spindle Formation	5/116	2.189927e-04	2.349103e-02	0	0	1.001873e+01	8.442252e+01	CDC20;TUBA1C;INCENP;PLK1;TUBB4B
Reactome_Pathways_2024	The Role of GTSE1 in G2 M Progression After G2 Checkpoint	4/65	2.487759e-04	2.349103e-02	0	0	1.445902e+01	1.199948e+02	TUBA1C;PLK1;TUBB4B;GTSE1
Reactome_Pathways_2024	Resolution of Sister Chromatid Cohesion	5/126	3.213894e-04	2.349103e-02	0	0	9.186090e+00	7.388241e+01	CDC20;TUBA1C;INCENP;PLK1;TUBB4B
Reactome_Pathways_2024	Phosphorylation of Emi1	2/6	3.238299e-04	2.349103e-02	0	0	1.081630e+02	8.691217e+02	CDC20;PLK1
Reactome_Pathways_2024	Maturation of Spike Protein 9683686	2/6	3.238299e-04	2.349103e-02	0	0	1.081630e+02	8.691217e+02	GANAB;PRKCSH
Reactome_Pathways_2024	Platelet Degranulation	5/128	3.456051e-04	2.349103e-02	0	0	9.035809e+00	7.201733e+01	LGALS3BP;APP;HSPA5;PSAP;QSOX1
Reactome_Pathways_2024	Mitotic Prometaphase	6/203	3.938716e-04	2.349103e-02	0	0	6.821297e+00	5.347546e+01	CDC20;TUBA1C;INCENP;PLK1;NCAPD2;TUBB4B
Reactome_Pathways_2024	Response to Elevated Platelet Cytosolic Ca2+	5/133	4.121885e-04	2.349103e-02	0	0	8.680653e+00	6.765727e+01	LGALS3BP;APP;HSPA5;PSAP;QSOX1
Reactome_Pathways_2024	Respiratory Syncytial Virus (RSV) Attachment and Entry	3/32	4.517506e-04	2.349103e-02	0	0	2.259606e+01	1.740434e+02	SDC3;EGFR;IGF1R
Reactome_Pathways_2024	RHO GTPases Activate Formins	5/139	5.043815e-04	2.360505e-02	0	0	8.289452e+00	6.293499e+01	CDC20;TUBA1C;INCENP;PLK1;TUBB4B
Reactome_Pathways_2024	Hyaluronan Uptake and Degradation	2/12	1.398904e-03	5.509695e-02	0	0	4.325217e+01	2.842561e+02	CD44;SLC9A1
