hgnc_symbol	log2fc_exon	log2fc_intron	log2fc_deseq
ASH2L	0.621407224912583		
CSRNP2		0.628997779039067	
HLA-B			0.826138959306318
JUP			0.665529123358853
CAPN5			0.672427628399901
EDC3	0.616781787939615		0.654680622307428
ENSG00000272405			0.618837400716589
LTBP1			0.682561497673829
CCDC124	0.627202450232269		
ADPRHL1			0.634785197190936
CEMIP			0.6021981585629
PHGDH	0.7225156643788		0.758365481957735
COPG2	0.602577626944093		0.665261070320858
POLR1C		0.90962285966117	
CLU			0.628690719253823
PIGR			1.56539087962845
MYADM			0.669244141600529
MLIP		0.723545921395057	
GAA			0.612892465963428
MUC13	0.677698667505411		0.746853675557601
CDH3			0.61596104343363
GRN	0.825681910975062		0.912687208460251
SEPTIN9	0.606580497703848		0.602053723543983
IL6R			0.829015500773928
PSAP	0.631540420425383		0.72497349662883
PTPRF	0.64479288503721		0.774062283148482
SUN2			0.662808411785967
SERPINE2			0.662477534952305
INSR			0.616788590686382
PALM2AKAP2	0.677307652139999		0.703058016755844
IL17RD	0.894819527527365		0.941312557703145
MYD88	0.720345399682455		0.718468271854068
CEACAM19			0.895781780905868
HLA-F			0.673379684169969
PLOD1			0.65312335957319
CCDC86	0.852214618405557		0.861118171215769
TMC4			0.615314467645316
PYCARD-AS1			0.965025163113951
TENT5C			1.103379532476
NCAPD2	0.61791357884203		
ZNF462			0.787494393595724
FAM184B			1.36185161561992
SIAE	0.813478714887172		0.847601230701177
PRR11	0.674165344040739		0.747501676906247
ATIC			0.833504639043071
PCK2	0.620969229230056		0.70895453788511
LAMC2			0.644162605394876
CTSD	0.658499142893393		
S100A11			0.627859505387842
CDCP1	0.652304774459608		0.707503342981302
APP	0.731778135466158		0.782269004680944
PDIA4			0.66688023930337
WBP2	0.676879043051781		0.719844739114658
CHERP	0.627984504762319		0.741535824936321
ENSG00000279806			1.13442245657345
FRMD3			0.619320226538269
MAGED1	0.675124946998213		0.690588407750567
SLC30A1	0.94563116556929		1.00389329506872
ATP8A2		0.871764188957903	
VAT1			0.621135727516611
HNRNPH3			0.694562147907548
NEO1	0.821393226227066		0.912804341285276
SEZ6L2			0.962894933572318
TMT1A			0.961175739980387
AMOT			0.628708363672682
GATAD2B			0.812477902767104
NDRG1	0.602718297651134		
SEMA7A			0.641909901453991
PRKCSH	0.603299090429489		
ZDBF2		2.61916582269565	
TPX2			0.616689774546354
CKAP4			0.61238512644717
DDN			1.2222916011734
COL13A1			0.771735688541109
CKAP2L	0.661248366770984		0.696778255977953
ECE1	0.671653817148365		0.74270746861273
ADGRE5			0.898441953130537
NOMO3			0.788742944284938
CHST11			1.18004131580732
CHAMP1	0.816464301047259		0.737914426050778
PRRC2A	0.637590846267507		
SMTN	0.741520653982766		0.751400400726156
PPP1R10	0.683404143368041		0.838212108854453
MBOAT7	0.613132649432814		0.636501984632098
TNC			0.687842309547739
SLC16A2			0.748524310598516
NUCB1	0.929837032226571		0.926149542698127
TNS4	0.693462352004563		0.750103513106599
BHLHE40	0.909795512575348		0.943070007769991
SP6			0.842681310536639
MKI67			0.664789249473376
C15orf39	0.643625116559264		0.713649703277333
PCDH1	0.656517989090539		0.70542894341245
ITPRIP	0.816381513423653		0.785884863563433
PHACTR4	0.603694219195513		0.608836665061249
NECTIN2	0.697357243635102		0.690368885844084
MAN2B2	0.643409855117232		0.703643588686642
SLC39A10	0.7805770852221		0.769516694736882
HRH1	0.687851479990292		0.722846507764838
ZFP36L2			0.650165445247468
GANAB	0.671266788331955		0.733842853145425
KIF20A			0.603360246801636
TGFBI	0.66796937939314		0.742799328150378
CEACAM5			1.2824128713984
CNOT3			0.863572488727204
PCSK9			0.968478679304016
DAG1	0.708596850024219		0.728469799091017
SDC3	0.613531591437443		
TUBB4B	0.620620757968733		0.699518254067857
ALPP			0.702722280588978
F2R			0.744337290207263
BAG3	0.657780161986713		0.710219124452575
TUBB			0.633589342384647
KCNQ1			0.774998223328207
