ensembl_id	ensembl	log2FC	hgnc_symbol
ENSG00000005339	ENSG00000005339.15	0.653103790815981	CREBBP
ENSG00000010292	ENSG00000010292.13	0.711213830483248	NCAPD2
ENSG00000011347	ENSG00000011347.10	0.696552038493175	SYT7
ENSG00000013288	ENSG00000013288.9	0.703643588686642	MAN2B2
ENSG00000026508	ENSG00000026508.21	0.749793120378163	CD44
ENSG00000030582	ENSG00000030582.19	0.912687208460251	GRN
ENSG00000041982	ENSG00000041982.17	0.687842309547739	TNC
ENSG00000044574	ENSG00000044574.9	1.12970880218016	HSPA5
ENSG00000047662	ENSG00000047662.5	1.36185161561992	FAM184B
ENSG00000049323	ENSG00000049323.16	0.682561497673829	LTBP1
ENSG00000053918	ENSG00000053918.20	0.774998223328207	KCNQ1
ENSG00000058085	ENSG00000058085.15	0.644162605394876	LAMC2
ENSG00000058668	ENSG00000058668.16	0.607623777418846	ATP2B4
ENSG00000062038	ENSG00000062038.15	0.61596104343363	CDH3
ENSG00000067141	ENSG00000067141.17	0.912804341285276	NEO1
ENSG00000068489	ENSG00000068489.13	0.747501676906247	PRR11
ENSG00000075218	ENSG00000075218.19	0.756817986179291	GTSE1
ENSG00000078081	ENSG00000078081.8	0.703650997835599	LAMP3
ENSG00000083444	ENSG00000083444.17	0.65312335957319	PLOD1
ENSG00000084234	ENSG00000084234.18	0.617297328993268	APLP2
ENSG00000085872	ENSG00000085872.15	0.741535824936321	CHERP
ENSG00000088038	ENSG00000088038.20	0.863572488727204	CNOT3
ENSG00000088325	ENSG00000088325.16	0.616689774546354	TPX2
ENSG00000089597	ENSG00000089597.18	0.733842853145425	GANAB
ENSG00000090020	ENSG00000090020.11	0.756630191703697	SLC9A1
ENSG00000092621	ENSG00000092621.13	0.758365481957735	PHGDH
ENSG00000096746	ENSG00000096746.18	0.694562147907548	HNRNPH3
ENSG00000099194	ENSG00000099194.6	0.646918069411356	SCD
ENSG00000099797	ENSG00000099797.15	0.665246779817939	TECR
ENSG00000099995	ENSG00000099995.19	0.661576065763597	SF3A1
ENSG00000100234	ENSG00000100234.12	0.796220036999261	TIMP3
ENSG00000100242	ENSG00000100242.16	0.662808411785967	SUN2
ENSG00000100600	ENSG00000100600.15	0.913378453420201	LGMN
ENSG00000100889	ENSG00000100889.12	0.70895453788511	PCK2
ENSG00000101955	ENSG00000101955.15	0.846498080293352	SRPX
ENSG00000103089	ENSG00000103089.9	1.20282023906247	FA2H
ENSG00000103226	ENSG00000103226.19	0.788742944284938	NOMO3
ENSG00000103512	ENSG00000103512.16	0.682597936860767	NOMO1
ENSG00000103888	ENSG00000103888.17	0.6021981585629	CEMIP
ENSG00000104805	ENSG00000104805.17	0.926149542698127	NUCB1
ENSG00000104853	ENSG00000104853.16	0.670863622377621	CLPTM1
ENSG00000105281	ENSG00000105281.13	0.645761419605776	SLC1A5
ENSG00000105329	ENSG00000105329.11	0.895225378669636	TGFB1
ENSG00000105388	ENSG00000105388.17	1.2824128713984	CEACAM5
ENSG00000105612	ENSG00000105612.10	0.618204914132777	DNASE2
ENSG00000105699	ENSG00000105699.17	0.887866564732097	LSR
ENSG00000105767	ENSG00000105767.3	0.661908128685219	CADM4
ENSG00000106211	ENSG00000106211.11	0.69518146205676	HSPB1
ENSG00000106236	ENSG00000106236.4	0.638096123409689	NPTX2
ENSG00000106665	ENSG00000106665.16	0.684852616110045	CLIP2
ENSG00000108679	ENSG00000108679.13	0.839666457862897	LGALS3BP
ENSG00000108828	ENSG00000108828.16	0.621135727516611	VAT1
ENSG00000109534	ENSG00000109534.17	0.606522346201052	GAR1
ENSG00000110013	ENSG00000110013.13	0.847601230701177	SIAE
ENSG00000110104	ENSG00000110104.13	0.861118171215769	CCDC86
ENSG00000110400	ENSG00000110400.11	0.931065916205838	NECTIN1
ENSG00000110876	ENSG00000110876.11	0.8401679162865	SELPLG
ENSG00000111275	ENSG00000111275.13	0.610156049777111	ALDH2
ENSG00000111981	ENSG00000111981.5	0.751829992540303	ULBP1
ENSG00000112655	ENSG00000112655.16	0.759127426846719	PTK7
ENSG00000112984	ENSG00000112984.12	0.603360246801636	KIF20A
ENSG00000116260	ENSG00000116260.17	0.70811601557061	QSOX1
ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1
ENSG00000117322	ENSG00000117322.19	0.661827770435759	CR2
ENSG00000117399	ENSG00000117399.14	0.799866974027698	CDC20
ENSG00000118523	ENSG00000118523.6	0.677683102091344	CCN2
ENSG00000119508	ENSG00000119508.18	0.651141786425379	NR4A3
ENSG00000120053	ENSG00000120053.12	0.674041466950033	GOT1
ENSG00000120708	ENSG00000120708.17	0.742799328150378	TGFBI
ENSG00000120738	ENSG00000120738.8	0.717007644616434	EGR1
ENSG00000120885	ENSG00000120885.22	0.628690719253823	CLU
