genebody_chr	genebody_start	genebody_end	gene_id_x	score	strand	anchor_chr	anchor_start	anchor_end	genebody_anchor	deg_class	Unnamed: 0	chr1	start1	end1	chr2	start2	end2	status	ctrl_signal	rbp1_signal	log2FC	log2FC_clipped	condition	distance	loop_id	comp_switch_A1	comp_switch_A2	loop_class	source	CTCF_signal	H3K27me3_signal	H3K4me3_signal	rad21_signal	GC_mean	GC_diff	E1_anchor1_ctrl	E1_anchor1_rbp1	E1_anchor2_ctrl	E1_anchor2_rbp1	delta_E1_anchor1	delta_E1_anchor2	anchor_side	distal_chr	distal_start	distal_end	gene_id_y	gene_symbol
chr1	22710338	22891765	ENST00000544305.5	0	+	chr1	22762500	22767500	1	upregulated_a1	7514	chr1	22762500	22767500	chr1	22882500	22887500	lost	0.0200640063727082	0.0121454982612839	-0.7241880346524348	-0.7241880346524348	Control loop	120000	7514	stable	stable	intra-TAD	ctrl	0.26103398	0.09417095	0.1945801	0.023491539	0.5441	0.0073999999999999	0.6619624183413239	0.6558611063787934	0.3127369983400906	0.2950783197091637	-0.0061013119625304	-0.0176586786309269	left	chr1	22882500	22887500	ENST00000544305	EPHB2
chr1	22710338	22922000	ENST00000374630.8	0	+	chr1	22762500	22767500	1	upregulated_a1	7514	chr1	22762500	22767500	chr1	22882500	22887500	lost	0.0200640063727082	0.0121454982612839	-0.7241880346524348	-0.7241880346524348	Control loop	120000	7514	stable	stable	intra-TAD	ctrl	0.26103398	0.09417095	0.1945801	0.023491539	0.5441	0.0073999999999999	0.6619624183413239	0.6558611063787934	0.3127369983400906	0.2950783197091637	-0.0061013119625304	-0.0176586786309269	left	chr1	22882500	22887500	ENST00000374630	EPHB2
chr1	22710464	22922000	ENST00000400191.7	0	+	chr1	22762500	22767500	1	upregulated_a1	7514	chr1	22762500	22767500	chr1	22882500	22887500	lost	0.0200640063727082	0.0121454982612839	-0.7241880346524348	-0.7241880346524348	Control loop	120000	7514	stable	stable	intra-TAD	ctrl	0.26103398	0.09417095	0.1945801	0.023491539	0.5441	0.0073999999999999	0.6619624183413239	0.6558611063787934	0.3127369983400906	0.2950783197091637	-0.0061013119625304	-0.0176586786309269	left	chr1	22882500	22887500	ENST00000400191	EPHB2
chr1	22710469	22914770	ENST00000374632.7	0	+	chr1	22762500	22767500	1	upregulated_a1	7514	chr1	22762500	22767500	chr1	22882500	22887500	lost	0.0200640063727082	0.0121454982612839	-0.7241880346524348	-0.7241880346524348	Control loop	120000	7514	stable	stable	intra-TAD	ctrl	0.26103398	0.09417095	0.1945801	0.023491539	0.5441	0.0073999999999999	0.6619624183413239	0.6558611063787934	0.3127369983400906	0.2950783197091637	-0.0061013119625304	-0.0176586786309269	left	chr1	22882500	22887500	ENST00000374632	EPHB2
chr1	28369081	28459739	ENST00000633371.1	0	+	chr1	28402500	28407500	1	upregulated_a1	102	chr1	28402500	28407500	chr1	28602500	28607500	shared	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	shared	200000	102	stable	stable	intra-TAD	ctrl	4.5680923	0.18834184	0.26276758	0.043009154	0.4303	0.0661999999999999	0.9232838941315192	0.774906168701161	0.6814535688007447	0.7439567910140753	-0.1483777254303581	0.0625032222133306	left	chr1	28602500	28607500	ENST00000633371	PHACTR4
chr1	28369081	28459739	ENST00000633371.1	0	+	chr1	28412500	28417500	1	upregulated_a1	19134	chr1	28412500	28417500	chr1	28502500	28507500	gained		0.0254431350193003	14.634988825255803	5.0	Mutant loop	90000	19134	stable		intra-TAD	rbp1	7.896269	0.2707413	0.20088807	0.060306273	0.4354	0.0907999999999999	0.3062930742271253	0.2344166315686149	-0.6173021841257307	-0.5510952261846235	-0.0718764426585103	0.0662069579411072	left	chr1	28502500	28507500	ENST00000633371	PHACTR4
chr1	28369081	28459739	ENST00000633371.1	0	+	chr1	28405000	28410000	1	upregulated_a1	19133	chr1	28405000	28410000	chr1	28605000	28610000	gained	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	Mutant loop	200000	19133	stable	stable	intra-TAD	rbp1	18.63129	0.09417085	0.41396928	0.044630293	0.4313	0.0917999999999999	-0.0163187090149978	0.0254328950115635	-0.6173021841257307	-0.5510952261846235	0.0417516040265614	0.0662069579411072	left	chr1	28605000	28610000	ENST00000633371	PHACTR4
chr1	28369108	28467084	ENST00000632202.1	0	+	chr1	28402500	28407500	1	upregulated_a1	102	chr1	28402500	28407500	chr1	28602500	28607500	shared	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	shared	200000	102	stable	stable	intra-TAD	ctrl	4.5680923	0.18834184	0.26276758	0.043009154	0.4303	0.0661999999999999	0.9232838941315192	0.774906168701161	0.6814535688007447	0.7439567910140753	-0.1483777254303581	0.0625032222133306	left	chr1	28602500	28607500	ENST00000632202	PHACTR4
chr1	28369108	28467084	ENST00000632202.1	0	+	chr1	28412500	28417500	1	upregulated_a1	19134	chr1	28412500	28417500	chr1	28502500	28507500	gained		0.0254431350193003	14.634988825255803	5.0	Mutant loop	90000	19134	stable		intra-TAD	rbp1	7.896269	0.2707413	0.20088807	0.060306273	0.4354	0.0907999999999999	0.3062930742271253	0.2344166315686149	-0.6173021841257307	-0.5510952261846235	-0.0718764426585103	0.0662069579411072	left	chr1	28502500	28507500	ENST00000632202	PHACTR4
chr1	28369108	28467084	ENST00000632202.1	0	+	chr1	28405000	28410000	1	upregulated_a1	19133	chr1	28405000	28410000	chr1	28605000	28610000	gained	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	Mutant loop	200000	19133	stable	stable	intra-TAD	rbp1	18.63129	0.09417085	0.41396928	0.044630293	0.4313	0.0917999999999999	-0.0163187090149978	0.0254328950115635	-0.6173021841257307	-0.5510952261846235	0.0417516040265614	0.0662069579411072	left	chr1	28605000	28610000	ENST00000632202	PHACTR4
chr1	28369209	28498045	ENST00000632421.1	0	+	chr1	28402500	28407500	1	upregulated_a1	102	chr1	28402500	28407500	chr1	28602500	28607500	shared	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	shared	200000	102	stable	stable	intra-TAD	ctrl	4.5680923	0.18834184	0.26276758	0.043009154	0.4303	0.0661999999999999	0.9232838941315192	0.774906168701161	0.6814535688007447	0.7439567910140753	-0.1483777254303581	0.0625032222133306	left	chr1	28602500	28607500	ENST00000632421	PHACTR4
chr1	28369209	28498045	ENST00000632421.1	0	+	chr1	28412500	28417500	1	upregulated_a1	19134	chr1	28412500	28417500	chr1	28502500	28507500	gained		0.0254431350193003	14.634988825255803	5.0	Mutant loop	90000	19134	stable		intra-TAD	rbp1	7.896269	0.2707413	0.20088807	0.060306273	0.4354	0.0907999999999999	0.3062930742271253	0.2344166315686149	-0.6173021841257307	-0.5510952261846235	-0.0718764426585103	0.0662069579411072	left	chr1	28502500	28507500	ENST00000632421	PHACTR4
chr1	28369209	28498045	ENST00000632421.1	0	+	chr1	28405000	28410000	1	upregulated_a1	19133	chr1	28405000	28410000	chr1	28605000	28610000	gained	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	Mutant loop	200000	19133	stable	stable	intra-TAD	rbp1	18.63129	0.09417085	0.41396928	0.044630293	0.4313	0.0917999999999999	-0.0163187090149978	0.0254328950115635	-0.6173021841257307	-0.5510952261846235	0.0417516040265614	0.0662069579411072	left	chr1	28605000	28610000	ENST00000632421	PHACTR4
chr1	28369238	28467741	ENST00000463428.5	0	+	chr1	28402500	28407500	1	upregulated_a1	102	chr1	28402500	28407500	chr1	28602500	28607500	shared	0.0229868516406324	0.0186462186084981	-0.3019257966851053	-0.3019257966851053	shared	200000	102	stable	stable	intra-TAD	ctrl	4.5680923	0.18834184	0.26276758	0.043009154	0.4303	0.0661999999999999	0.9232838941315192	0.774906168701161	0.6814535688007447	0.7439567910140753	-0.1483777254303581	0.0625032222133306	left	chr1	28602500	28607500	ENST00000463428	PHACTR4
