loop_id,loop_chr,loop_start,loop_end,chr1,start1,end1,chr2,start2,end2
8,chr1,6105000,6245000,chr1,6105000,6110000,chr1,6240000,6245000
15103,chr1,6195000,6240000,chr1,6195000,6200000,chr1,6235000,6240000
7471,chr1,9765000,9925000,chr1,9765000,9770000,chr1,9920000,9925000
19054,chr1,9780000,9870000,chr1,9780000,9785000,chr1,9865000,9870000
29,chr1,9782500,9867500,chr1,9782500,9787500,chr1,9862500,9867500
18224,chr1,16562500,21427500,chr1,16562500,16567500,chr1,21422500,21427500
71,chr1,21222500,21577500,chr1,21222500,21227500,chr1,21572500,21577500
19101,chr1,21225000,21580000,chr1,21225000,21230000,chr1,21575000,21580000
19102,chr1,21232500,21357500,chr1,21232500,21237500,chr1,21352500,21357500
7508,chr1,21242500,21357500,chr1,21242500,21247500,chr1,21352500,21357500
19106,chr1,22422500,22937500,chr1,22422500,22427500,chr1,22932500,22937500
15132,chr1,22432500,22947500,chr1,22432500,22437500,chr1,22942500,22947500
19107,chr1,22662500,22917500,chr1,22662500,22667500,chr1,22912500,22917500
19108,chr1,22662500,22947500,chr1,22662500,22667500,chr1,22942500,22947500
77,chr1,22665000,22965000,chr1,22665000,22670000,chr1,22960000,22965000
7512,chr1,22670000,22735000,chr1,22670000,22675000,chr1,22730000,22735000
19109,chr1,22670000,22965000,chr1,22670000,22675000,chr1,22960000,22965000
78,chr1,22672500,22887500,chr1,22672500,22677500,chr1,22882500,22887500
7513,chr1,22672500,22937500,chr1,22672500,22677500,chr1,22932500,22937500
7514,chr1,22762500,22887500,chr1,22762500,22767500,chr1,22882500,22887500
15143,chr1,26995000,27100000,chr1,26995000,27000000,chr1,27095000,27100000
27917,chr1,27042500,27287500,chr1,27042500,27047500,chr1,27282500,27287500
97,chr1,27045000,27100000,chr1,27045000,27050000,chr1,27095000,27100000
98,chr1,27045000,27290000,chr1,27045000,27050000,chr1,27285000,27290000
18230,chr1,27100000,27200000,chr1,27100000,27105000,chr1,27195000,27200000
99,chr1,27102500,27287500,chr1,27102500,27107500,chr1,27282500,27287500
19131,chr1,27290000,27615000,chr1,27290000,27295000,chr1,27610000,27615000
100,chr1,27295000,27665000,chr1,27295000,27300000,chr1,27660000,27665000
27919,chr1,27300000,27665000,chr1,27300000,27305000,chr1,27660000,27665000
27921,chr1,27302500,27387500,chr1,27302500,27307500,chr1,27382500,27387500
15144,chr1,27302500,27397500,chr1,27302500,27307500,chr1,27392500,27397500
27920,chr1,27302500,27627500,chr1,27302500,27307500,chr1,27622500,27627500
15145,chr1,27302500,27647500,chr1,27302500,27307500,chr1,27642500,27647500
7539,chr1,28245000,28605000,chr1,28245000,28250000,chr1,28600000,28605000
102,chr1,28402500,28607500,chr1,28402500,28407500,chr1,28602500,28607500
19133,chr1,28405000,28610000,chr1,28405000,28410000,chr1,28605000,28610000
19134,chr1,28412500,28507500,chr1,28412500,28417500,chr1,28502500,28507500
7574,chr1,37462500,37977500,chr1,37462500,37467500,chr1,37972500,37977500
7576,chr1,37692500,37797500,chr1,37692500,37697500,chr1,37792500,37797500
19164,chr1,37695000,37865000,chr1,37695000,37700000,chr1,37860000,37865000
27942,chr1,43222500,44047500,chr1,43222500,43227500,chr1,44042500,44047500
19181,chr1,43230000,43625000,chr1,43230000,43235000,chr1,43620000,43625000
7594,chr1,43232500,43417500,chr1,43232500,43237500,chr1,43412500,43417500
