Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,chr1,start1,end1,chr2,start2,end2,status,ctrl_signal,rbp1_signal,log2FC,log2FC_clipped,condition,distance,loop_id,comp_switch_A1,comp_switch_A2,loop_class,source,CTCF_signal,H3K27me3_signal,H3K4me3_signal,rad21_signal,GC_mean,GC_diff,E1_anchor1_ctrl,E1_anchor1_rbp1,E1_anchor2_ctrl,E1_anchor2_rbp1,delta_E1_anchor1,delta_E1_anchor2,ATAC_signal,status_slop,status_slop2,status_slop3,anchor1_id,anchor2_id,cre_categorization,gene_id
8,8,8,8,chr1,6105000,6110000,chr1,6240000,6245000,shared,,,0.0,0.0,shared,135000,8,,,uncategorized,ctrl,15.270481,0.5414823,0.8553917,0.03482447,0.5964,0.0164,,0.8293455113240956,,,,,0.17377159,shared_2.5kb,shared_10kb,shared_0kb,anchor1_8,anchor2_8,promoter-enhancer,RNF207
29,29,29,29,chr1,9782500,9787500,chr1,9862500,9867500,shared,0.0491330547021674,0.0387432988699654,-0.342747137055419,-0.342747137055419,shared,80000,29,stable,stable,inter-TAD,ctrl,10.14769,8.275272,0.188543,0.034904007,0.511,0.0631999999999999,0.6748699925967264,0.8426933688204861,0.8351787170344092,0.6900573742705363,0.1678233762237596,-0.1451213427638729,0.051564902,shared_2.5kb,shared_10kb,shared_0kb,anchor1_29,anchor2_29,enhancer-enhancer,CLSTN1
71,71,71,71,chr1,21222500,21227500,chr1,21572500,21577500,shared,0.0154270209249217,0.0100328246473248,-0.6207316530741869,-0.6207316530741869,shared,350000,71,stable,stable,intra-TAD,ctrl,3.0997772,0.0941708,0.188543,0.039089043,0.5409999999999999,0.0348,0.463573872805017,0.4565809593601253,0.5980565956259969,0.6520914039067366,-0.0069929134448917,0.0540348082807397,0.057612695,shared_2.5kb,shared_10kb,shared_0kb,anchor1_71,anchor2_71,enhancer-other,ECE1
77,77,77,77,chr1,22665000,22670000,chr1,22960000,22965000,shared,0.025277722740995,0.0275363466968164,0.1234706692773536,0.1234706692773536,shared,295000,77,stable,stable,uncategorized,ctrl,15.107338,0.23542725,0.19892533,0.053034913,0.5062,0.0319999999999999,0.5874706286737447,0.558544841079831,0.4923354562093378,0.5366890131372872,-0.0289257875939136,0.0443535569279494,0.07444534,shared_2.5kb,shared_10kb,shared_0kb,anchor1_77,anchor2_77,promoter-enhancer,EPHB2
78,78,78,78,chr1,22672500,22677500,chr1,22882500,22887500,shared,0.0197343540449,0.0302415185386597,0.6158212874771787,0.6158212874771787,shared,210000,78,stable,stable,intra-TAD,ctrl,10.865537,0.37668344,0.47189197,0.044437893,0.5421,0.0033999999999999,0.5874706286737447,0.558544841079831,0.6613848960470387,0.6474867638675003,-0.0289257875939136,-0.0138981321795383,0.0809457,shared_2.5kb,shared_10kb,shared_0kb,anchor1_78,anchor2_78,enhancer-enhancer,EPHB2
97,97,97,97,chr1,27045000,27050000,chr1,27095000,27100000,shared,0.0636717318083655,0.0524135967532867,-0.2807118908914195,-0.2807118908914195,shared,50000,97,stable,stable,intra-TAD,ctrl,0.26103398,7.6278477,0.1993884,0.02704326,0.5062,0.002,1.0174514129012484,0.7988658631331944,0.8261704186731188,0.7069563102120444,-0.218585549768054,-0.1192141084610743,0.04703909,shared_2.5kb,shared_10kb,shared_0kb,anchor1_97,anchor2_97,enhancer-enhancer,SLC9A1
98,98,98,98,chr1,27045000,27050000,chr1,27285000,27290000,shared,0.0128791247120096,0.0249858114339114,0.9560745228035264,0.9560745228035264,shared,240000,98,stable,stable,intra-TAD,ctrl,2.0882711,0.18834177,0.19284436,0.035472687,0.5139,0.0173999999999999,1.0174514129012484,0.7988658631331944,0.6403334192185397,0.5152047588694348,-0.218585549768054,-0.1251286603491048,0.04412593,shared_2.5kb,shared_10kb,shared_0kb,anchor1_98,anchor2_98,enhancer-enhancer,SLC9A1
99,99,99,99,chr1,27102500,27107500,chr1,27282500,27287500,shared,0.0573756800181457,0.0662517254284013,0.2075186804261131,0.2075186804261131,shared,180000,99,stable,stable,inter-TAD,ctrl,2.904001,1.0241086,0.23015249,0.036675487,0.5012,0.0887999999999999,0.7359788589106834,0.7813499213209681,0.6403334192185397,0.5152047588694348,0.0453710624102847,-0.1251286603491048,0.04688523,shared_2.5kb,shared_10kb,shared_0kb,anchor1_99,anchor2_99,enhancer-enhancer,SLC9A1
100,100,100,100,chr1,27295000,27300000,chr1,27660000,27665000,shared,0.0131094304739227,0.0133854809742545,0.0300639691191987,0.0300639691191987,shared,365000,100,stable,stable,intra-TAD,ctrl,1.5662038,0.71805346,0.188543,0.046488374,0.5203,0.0045999999999999,0.6403334192185397,0.5152047588694348,0.7299038112578821,0.6566647169096879,-0.1251286603491048,-0.0732390943481942,0.048827633,shared_2.5kb,shared_10kb,shared_0kb,anchor1_100,anchor2_100,promoter-enhancer,MAP3K6
102,102,102,102,chr1,28402500,28407500,chr1,28602500,28607500,shared,0.0229868516406324,0.0186462186084981,-0.3019257966851053,-0.3019257966851053,shared,200000,102,stable,stable,intra-TAD,ctrl,4.5680923,0.18834184,0.26276758,0.043009154,0.4303,0.0661999999999999,0.9232838941315192,0.774906168701161,0.6814535688007447,0.7439567910140753,-0.1483777254303581,0.0625032222133306,0.048208743,shared_2.5kb,shared_10kb,shared_0kb,anchor1_102,anchor2_102,enhancer-other,"PHACTR4,SNORA73B"
