chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness	pvalue_added	Stripiness_added	O_Mean_added	O_Sum_added	O/E_Mean_added	O/E_Total_added
chr16	34575001	34595000	chr16	34575001	36340000	1765000	20000	71.70579268292683	95.0%	0.001	1793.2188178630677	0.001	1793.2188178630677	66.62747875354107	94078	26.21073193440228	148038.21396550408
chr16	34575001	34600000	chr16	33515001	34600000	1085000	25000	109.83260869565216	95.0%	0.001	131.1247732841605	0.001	131.1247732841605	93.12995391705068	101046	9.005276518598208	48853.625113395276
chr20	31055001	31075000	chr20	29505001	31075000	1570000	20000	30.60446428571429	98.0%	0.002	60.741310249704725	0.0025	60.741310249704725	27.2906050955414	34277	7.921656314172929	39798.401322404796
chr2	90380001	90400000	chr2	89190001	90400000	1210000	20000	87.11052631578947	95.0%	0.001	50.988033488300175	0.001	50.988033488300175	68.39256198347107	66204	6.087803153648594	23571.973810927357
chr20	31055001	31080000	chr20	31055001	31385000	330000	25000	126.08771929824562	99.0%	0.001	47.14674770601933	0.001	47.14674770601933	108.89393939393939	35935	6.045476920040982	9975.03691806762
chr3	93450001	93485000	chr3	93450001	94490000	1040000	35000	35.36439790575916	95.0%	0.001	38.985342178108354	0.001	38.985342178108354	23.19574175824176	33773	3.2817270449122704	33447.36204174586
chr21	9245001	9260000	chr21	9245001	9370000	125000	15000	201.28	98.0%	0.001	38.3096769764692	0.001	38.3096769764692	201.28	15096	4.546578825876676	1022.9802358222521
chr1	219800001	219820000	chr1	218505001	219820000	1315000	20000	7.359315589353612	95.0%	0.003	22.591817441999023	0.004	22.591817441999023	7.359315589353612	7742	5.478003343712112	23051.43807034057
chr10	42065001	42085000	chr10	42065001	42780000	715000	20000	27.795454545454547	95.0%	0.001	19.644331286343576	0.001	19.644331286343576	27.795454545454547	15899	3.0480768097023856	6973.999740599058
chr16	77225001	77245000	chr16	77225001	77670000	445000	20000	12.969101123595506	95.0%	0.035	17.441797317344783	0.036	17.441797317344783	12.969101123595506	4617	5.543506921911334	7893.953856801739
chr13	108880001	108900000	chr13	108310001	108900000	590000	20000	10.11228813559322	96.0%	0.0065	17.395778477726445	0.007	17.395778477726445	10.11228813559322	4773	4.277748951498293	8076.390020428778
chr8	64245001	64265000	chr8	63335001	64265000	930000	20000	8.55510752688172	95.0%	0.011	14.827099576159544	0.011	14.827099576159545	8.55510752688172	6365	4.7507104962261835	14138.114436769123
chr14	54325001	54345000	chr14	53855001	54345000	490000	20000	10.823979591836734	95.0%	0.0065	14.476977170949135	0.007	14.476977170949137	10.823979591836734	4243	3.592547657156465	5633.114726421337
