Unnamed: 0,chr1,start1,end1,chr2,start2,end2,status,ctrl_signal,rbp1_signal,log2FC,log2FC_clipped,condition,distance,loop_id,comp_switch_A1,comp_switch_A2,loop_class,source,CTCF_signal,H3K27me3_signal,H3K4me3_signal,rad21_signal,GC_mean,GC_diff,E1_anchor1_ctrl,E1_anchor1_rbp1,E1_anchor2_ctrl,E1_anchor2_rbp1,delta_E1_anchor1,delta_E1_anchor2,loop_chr,loop_start,loop_end,gene_id
8,chr1,6105000,6110000,chr1,6240000,6245000,shared,,,0.0,0.0,shared,135000,8,,,uncategorized,ctrl,15.270481,0.5414823,0.8553917,0.03482447,0.5964,0.0164,,0.8293455113240956,,,,,chr1,6105000,6245000,"ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5"
29,chr1,9782500,9787500,chr1,9862500,9867500,shared,0.0491330547021674,0.0387432988699654,-0.342747137055419,-0.342747137055419,shared,80000,29,stable,stable,inter-TAD,ctrl,10.14769,8.275272,0.188543,0.034904007,0.511,0.0631999999999999,0.6748699925967264,0.8426933688204861,0.8351787170344092,0.6900573742705363,0.1678233762237596,-0.1451213427638729,chr1,9782500,9867500,"ENST00000361311.4,ENST00000377298.9,ENST00000650348.1"
71,chr1,21222500,21227500,chr1,21572500,21577500,shared,0.0154270209249217,0.0100328246473248,-0.6207316530741869,-0.6207316530741869,shared,350000,71,stable,stable,intra-TAD,ctrl,3.0997772,0.0941708,0.188543,0.039089043,0.5409999999999999,0.0348,0.463573872805017,0.4565809593601253,0.5980565956259969,0.6520914039067366,-0.0069929134448917,0.0540348082807397,chr1,21222500,21577500,"ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1"
77,chr1,22665000,22670000,chr1,22960000,22965000,shared,0.025277722740995,0.0275363466968164,0.1234706692773536,0.1234706692773536,shared,295000,77,stable,stable,uncategorized,ctrl,15.107338,0.23542725,0.19892533,0.053034913,0.5062,0.0319999999999999,0.5874706286737447,0.558544841079831,0.4923354562093378,0.5366890131372872,-0.0289257875939136,0.0443535569279494,chr1,22665000,22965000,"ENST00000374627.1,ENST00000374630.8,ENST00000374632.7,ENST00000400191.7,ENST00000465676.1,ENST00000490436.1,ENST00000544305.5"
78,chr1,22672500,22677500,chr1,22882500,22887500,shared,0.0197343540449,0.0302415185386597,0.6158212874771787,0.6158212874771787,shared,210000,78,stable,stable,intra-TAD,ctrl,10.865537,0.37668344,0.47189197,0.044437893,0.5421,0.0033999999999999,0.5874706286737447,0.558544841079831,0.6613848960470387,0.6474867638675003,-0.0289257875939136,-0.0138981321795383,chr1,22672500,22887500,"ENST00000374627.1,ENST00000374630.8,ENST00000374632.7,ENST00000400191.7,ENST00000465676.1,ENST00000490436.1,ENST00000544305.5"
97,chr1,27045000,27050000,chr1,27095000,27100000,shared,0.0636717318083655,0.0524135967532867,-0.2807118908914195,-0.2807118908914195,shared,50000,97,stable,stable,intra-TAD,ctrl,0.26103398,7.6278477,0.1993884,0.02704326,0.5062,0.002,1.0174514129012484,0.7988658631331944,0.8261704186731188,0.7069563102120444,-0.218585549768054,-0.1192141084610743,chr1,27045000,27100000,"ENST00000263980.8,ENST00000374089.5"
98,chr1,27045000,27050000,chr1,27285000,27290000,shared,0.0128791247120096,0.0249858114339114,0.9560745228035264,0.9560745228035264,shared,240000,98,stable,stable,intra-TAD,ctrl,2.0882711,0.18834177,0.19284436,0.035472687,0.5139,0.0173999999999999,1.0174514129012484,0.7988658631331944,0.6403334192185397,0.5152047588694348,-0.218585549768054,-0.1251286603491048,chr1,27045000,27290000,"ENST00000263980.8,ENST00000374084.2,ENST00000374086.3,ENST00000374089.5,ENST00000447808.1"
99,chr1,27102500,27107500,chr1,27282500,27287500,shared,0.0573756800181457,0.0662517254284013,0.2075186804261131,0.2075186804261131,shared,180000,99,stable,stable,inter-TAD,ctrl,2.904001,1.0241086,0.23015249,0.036675487,0.5012,0.0887999999999999,0.7359788589106834,0.7813499213209681,0.6403334192185397,0.5152047588694348,0.0453710624102847,-0.1251286603491048,chr1,27102500,27287500,"ENST00000263980.8,ENST00000374084.2,ENST00000374086.3,ENST00000374089.5,ENST00000447808.1"
100,chr1,27295000,27300000,chr1,27660000,27665000,shared,0.0131094304739227,0.0133854809742545,0.0300639691191987,0.0300639691191987,shared,365000,100,stable,stable,intra-TAD,ctrl,1.5662038,0.71805346,0.188543,0.046488374,0.5203,0.0045999999999999,0.6403334192185397,0.5152047588694348,0.7299038112578821,0.6566647169096879,-0.1251286603491048,-0.0732390943481942,chr1,27295000,27665000,"ENST00000357582.3,ENST00000374040.7,ENST00000470890.1,ENST00000476509.1,ENST00000486046.5,ENST00000493901.6,ENST00000495230.2,ENST00000671291.1"
102,chr1,28402500,28407500,chr1,28602500,28607500,shared,0.0229868516406324,0.0186462186084981,-0.3019257966851053,-0.3019257966851053,shared,200000,102,stable,stable,intra-TAD,ctrl,4.5680923,0.18834184,0.26276758,0.043009154,0.4303,0.0661999999999999,0.9232838941315192,0.774906168701161,0.6814535688007447,0.7439567910140753,-0.1483777254303581,0.0625032222133306,chr1,28402500,28607500,"ENST00000363217.1,ENST00000373836.4,ENST00000373839.8,ENST00000463428.5,ENST00000493669.2,ENST00000632202.1,ENST00000632421.1,ENST00000632964.1,ENST00000633167.1,ENST00000633371.1"
154,chr1,43525000,43530000,chr1,43930000,43935000,shared,0.0124144966240663,0.0144906038177603,0.2230919475577673,0.2230919475577673,shared,405000,154,stable,stable,intra-TAD,ctrl,2.871373,0.6474254,0.19032171,0.04691621,0.5498000000000001,0.0819999999999999,0.6540040917416834,0.6267094808799777,0.7163027195040411,0.7313121754158787,-0.0272946108617057,0.0150094559118375,chr1,43525000,43935000,"ENST00000359947.9,ENST00000372405.1,ENST00000372407.4,ENST00000412568.6,ENST00000414879.5,ENST00000429895.5,ENST00000436724.5,ENST00000437607.1,ENST00000438120.5,ENST00000463041.1,ENST00000467464.1,ENST00000477970.1,ENST00000481019.5,ENST00000496043.5,ENST00000496447.5,ENST00000617451.4"
349,chr1,117072500,117077500,chr1,117752500,117757500,shared,0.0037937958215565,0.0053472345477973,0.495150923230958,0.495150923230958,shared,680000,349,stable,stable,inter-TAD,ctrl,3.6544747,0.0941708,0.19711314,0.040582474,0.4168,0.0008,0.2451744084333047,0.2880007911217695,-0.3453826947205776,-0.2404503039814492,0.0428263826884647,0.1049323907391283,chr1,117072500,117757500,ENST00000369448.4
354,chr1,119370000,119375000,chr1,119675000,119680000,shared,0.0115192215699146,0.0122235866344212,0.0856244340118593,0.0856244340118593,shared,305000,354,stable,stable,uncategorized,ctrl,10.408722,2.1423893,0.188543,0.049376596,0.4348999999999999,0.0306,-0.0301057595925617,0.0283350693660673,0.398298587947924,0.4107340649307017,0.0584408289586291,0.0124354769827776,chr1,119370000,119680000,"ENST00000493622.5,ENST00000641597.1"
358,chr1,119472500,119477500,chr1,119672500,119677500,shared,0.0152297063837252,0.0147930116442578,-0.0419723338289634,-0.0419723338289634,shared,200000,358,stable,stable,uncategorized,ctrl,0.48943868,1.9305044,0.33080965,0.024441104,0.4363,0.0438,0.2777566518462581,0.242706027796634,0.398298587947924,0.4107340649307017,-0.035050624049624,0.0124354769827776,chr1,119472500,119677500,"ENST00000493622.5,ENST00000641597.1"
359,chr1,119615000,119620000,chr1,119665000,119670000,shared,0.0488960888013902,0.0526661230695396,0.1071561931635301,0.1071561931635301,shared,50000,359,stable,stable,intra-TAD,ctrl,2.3819346,0.3766837,0.18854299,0.033580974,0.4501,0.0178,0.430220709901418,0.3769667661271076,0.398298587947924,0.4107340649307017,-0.0532539437743104,0.0124354769827776,chr1,119615000,119670000,"ENST00000493622.5,ENST00000641597.1"
366,chr1,151020000,151025000,chr1,151155000,151160000,shared,0.0247140101825227,0.0213307491824131,-0.2123944892876031,-0.2123944892876031,shared,135000,366,stable,stable,intra-TAD,ctrl,1.1093941,6.568424,0.2033571,0.02716405,0.4861,0.0146,1.124369884870208,1.2036893804963158,1.165267131133766,1.1605344495137022,0.0793194956261078,-0.0047326816200639,chr1,151020000,151160000,"ENST00000368916.1,ENST00000368918.8,ENST00000462520.5,ENST00000467551.1,ENST00000486076.5,ENST00000489549.5"
461,chr1,180182500,180187500,chr1,180412500,180417500,shared,0.0169869457235968,0.0180077307201567,0.0841899113562309,0.0841899113562309,shared,230000,461,stable,stable,intra-TAD,ctrl,1.337799,0.28251272,0.3504934,0.02716623,0.458,0.1964,0.37102562855416,0.4025069119288957,0.1231900090210444,0.0340912655615288,0.0314812833747357,-0.0890987434595155,chr1,180182500,180417500,"ENST00000367600.5,ENST00000367602.8,ENST00000392029.6,ENST00000443059.1"
462,chr1,180182500,180187500,chr1,180482500,180487500,shared,0.0173396903315414,0.0175187686710968,0.0148232430612663,0.0148232430612663,shared,300000,462,stable,stable,intra-TAD,ctrl,0.78310174,3.0840979,0.188543,0.035261177,0.4641,0.1842,0.37102562855416,0.4025069119288957,0.1720394984607086,0.1800469645506193,0.0314812833747357,0.0080074660899107,chr1,180182500,180487500,"ENST00000367600.5,ENST00000367602.8,ENST00000392029.6,ENST00000443059.1"
471,chr1,182960000,182965000,chr1,183185000,183190000,shared,0.017321224219027,0.0144544423044266,-0.2610279531937948,-0.2610279531937948,shared,225000,471,stable,stable,intra-TAD,ctrl,11.257084,0.30605543,0.188543,0.03904689,0.4139,0.0445999999999999,0.7811391151054131,0.7698388092761858,1.004239781337547,1.033380411514525,-0.0113003058292273,0.0291406301769781,chr1,182960000,183190000,"ENST00000264144.5,ENST00000493293.5"
518,chr1,203502500,203507500,chr1,203702500,203707500,shared,0.0508198836605689,0.0532010571647425,0.0660618412766154,0.0660618412766154,shared,200000,518,stable,stable,inter-TAD,ctrl,1.3377981,3.731524,0.20154595,0.025209574,0.4767,0.0449999999999999,0.9092108466143513,0.8887131216410273,0.9018638812509217,0.8951660652347022,-0.0204977249733239,-0.0066978160162194,chr1,203502500,203707500,"ENST00000341360.7,ENST00000357681.10,ENST00000705901.1"
534,chr1,206725000,206730000,chr1,206980000,206985000,shared,0.0179049815231394,0.0134741908055977,-0.4101623955569475,-0.4101623955569475,shared,255000,534,stable,stable,intra-TAD,ctrl,8.353084,0.54148275,0.188543,0.034298327,0.4770999999999999,0.0729999999999999,0.8988007214306486,0.8004035266246189,0.9174082434016828,0.8341495304181442,-0.0983971948060297,-0.0832587129835384,chr1,206725000,206985000,"ENST00000356495.5,ENST00000487208.1,ENST00000491503.1"
