gene_id	gene_name	gene_type	chr	start	end	strand
ENSG00000187961	KLHL17	protein_coding	chr1	960584	965719	+
ENSG00000131584	ACAP3	protein_coding	chr1	1292390	1309609	-
ENSG00000197530	MIB2	protein_coding	chr1	1615454	1630605	+
ENSG00000158286	RNF207	protein_coding	chr1	6205475	6221299	+
ENSG00000215788	TNFRSF25	protein_coding	chr1	6460786	6466175	-
ENSG00000142733	MAP3K6	protein_coding	chr1	27355184	27366961	-
ENSG00000200087	SNORA73B	snoRNA	chr1	28508559	28508762	+
ENSG00000274210	RNVU1-27	snRNA	chr1	148522601	148522765	+
ENSG00000143630	HCN3	protein_coding	chr1	155277463	155289848	+
ENSG00000307581	ENSG00000307581	lncRNA	chr1	179819813	179825466	-
ENSG00000228437	LINC02474	lncRNA	chr1	221966341	221984964	+
ENSG00000287315	ENSG00000287315	lncRNA	chr1	228357012	228368554	-
ENSG00000171163	ZNF692	protein_coding	chr1	248850006	248859144	-
ENSG00000206633	SNORA80B	snoRNA	chr2	10446714	10446849	-
ENSG00000208772	SNORD94	snoRNA	chr2	86135870	86136006	+
ENSG00000251791	SCARNA6	scaRNA	chr2	233288676	233288940	+
ENSG00000290076	ENSG00000290076	lncRNA	chr3	37862435	37863897	+
ENSG00000197980	LEKR1	protein_coding	chr3	156825481	157046129	+
ENSG00000169429	CXCL8	protein_coding	chr4	73740519	73747379	+
ENSG00000250920	ENSG00000250920	lncRNA	chr4	103550086	103559277	-
ENSG00000236699	ARHGEF38	protein_coding	chr4	105552620	105708093	+
ENSG00000168556	ING2	protein_coding	chr4	183505058	183512429	+
ENSG00000225138	SLC9A3-AS1	lncRNA	chr5	473236	480884	+
ENSG00000290548	ENSG00000290548	lncRNA	chr5	34051309	34244861	-
ENSG00000252213	SNORA74D	snoRNA	chr5	139276180	139276320	+
ENSG00000200959	SNORA74A	snoRNA	chr5	139278781	139278978	+
ENSG00000164620	RELL2	protein_coding	chr5	141636950	141641064	+
ENSG00000212402	SNORA74B	snoRNA	chr5	173020728	173020928	+
ENSG00000204681	GABBR1	protein_coding	chr6	29555629	29633976	-
ENSG00000135338	LCA5	protein_coding	chr6	79484991	79537458	-
ENSG00000220908	LINC02531	lncRNA	chr6	92586835	92723829	-
ENSG00000118513	MYB	protein_coding	chr6	135181308	135219173	+
ENSG00000164877	MICALL2	protein_coding	chr7	1428465	1459470	-
