Unnamed: 0,chr1,start1,end1,chr2,start2,end2,status,ctrl_signal,rbp1_signal,log2FC,log2FC_clipped,condition,distance,loop_id,comp_switch_A1,comp_switch_A2,loop_class,source,CTCF_signal,H3K27me3_signal,H3K4me3_signal,rad21_signal,GC_mean,GC_diff,E1_anchor1_ctrl,E1_anchor1_rbp1,E1_anchor2_ctrl,E1_anchor2_rbp1,delta_E1_anchor1,delta_E1_anchor2,gene_id
0,chr1,1952500,1957500,chr1,2042500,2047500,shared,,,0.0,0.0,shared,90000,0,,,uncategorized,ctrl,3.7197318,1.930504,0.188543,0.02401845,0.5772999999999999,0.0494,,,,,,,85452
3,chr1,3490000,3495000,chr1,3615000,3620000,shared,,,0.0,0.0,shared,125000,3,,,uncategorized,ctrl,1.0767652,5.41483,0.188543,0.024769478,0.6002,0.0948,,,,,,,1953
4,chr1,3565000,3570000,chr1,3615000,3620000,shared,,,0.0,0.0,shared,50000,4,,,uncategorized,ctrl,16.47777,1.3772501,0.18854302,0.042592436,0.5949,0.0842,,,,,,,1953
5,chr1,3912500,3917500,chr1,4822500,4827500,shared,0.0064951294769843,0.0077847108879925,0.261285175532602,0.261285175532602,shared,910000,5,stable,stable,intra-TAD,ctrl,14.193712,0.1765704,0.188543,0.035900645,0.5098,0.1019999999999999,0.4226382614174216,0.4505605766305092,-0.1827943541423385,-0.0908024867672905,0.0279223152130875,0.091991867375048,100133612
8,chr1,6105000,6110000,chr1,6240000,6245000,shared,,,0.0,0.0,shared,135000,8,,,uncategorized,ctrl,15.270481,0.5414823,0.8553917,0.03482447,0.5964,0.0164,,0.8293455113240956,,,,,26038
15,chr1,7990000,7995000,chr1,8110000,8115000,shared,0.0237018232414131,0.0234198832312798,-0.0172641586561461,-0.0172641586561461,shared,120000,15,stable,stable,intra-TAD,ctrl,22.709942,0.0941708,0.48354518,0.044730213,0.4405,0.0345999999999999,0.6442865442533705,0.5690593111005428,1.095904084951722,1.025143285091343,-0.0752272331528277,-0.0707607998603792,54206
16,chr1,8012500,8017500,chr1,8092500,8097500,shared,0.0221893189537201,0.0168485347601539,-0.3972422559704062,-0.3972422559704062,shared,80000,16,stable,stable,intra-TAD,ctrl,1.8272378,0.28251275,0.27172372,0.024300758,0.4171,0.0202,0.8198906163178981,0.7089442935848639,1.088382564551842,0.9337915817659488,-0.1109463227330341,-0.1545909827858934,54206
17,chr1,8022500,8027500,chr1,8312500,8317500,shared,0.0323603032942895,0.0236201995505362,-0.4542039762649081,-0.4542039762649081,shared,290000,17,stable,stable,inter-TAD,ctrl,7.1784267,3.4372406,0.188543,0.04342872,0.5228999999999999,0.0273999999999999,0.8198906163178981,0.7089442935848639,0.5553875811382921,0.5014993307631576,-0.1109463227330341,-0.0538882503751345,54206
18,chr1,8025000,8030000,chr1,8240000,8245000,shared,0.019031417352434,0.0166790289211034,-0.1903477141003198,-0.1903477141003198,shared,215000,18,stable,stable,intra-TAD,ctrl,11.159198,1.7774761,0.18854302,0.046898007,0.4887,0.0174,0.8198906163178981,0.7089442935848639,0.9643515199378706,0.89170341301948,-0.1109463227330341,-0.0726481069183906,54206
24,chr1,9140000,9145000,chr1,9195000,9200000,shared,0.0555739617749737,0.0510829102297113,-0.1215683725317884,-0.1215683725317884,shared,55000,24,stable,stable,uncategorized,ctrl,26.951756,0.1883419,0.188543,0.04210102,0.5173,0.0746,0.9236552596071216,0.9532102146981388,0.9917965508962926,0.9963619564560832,0.0295549550910173,0.0045654055597905,106614088
