	Unnamed: 0	chr1	start1	end1	chr2	start2	end2	status	ctrl_signal	rbp1_signal	log2FC_x	log2FC_clipped	condition	distance	loop_id	comp_switch_A1	comp_switch_A2	loop_class	source	CTCF_signal	H3K27me3_signal	H3K4me3_signal	rad21_signal	GC_mean	GC_diff	E1_anchor1_ctrl	E1_anchor1_rbp1	E1_anchor2_ctrl	E1_anchor2_rbp1	delta_E1_anchor1	delta_E1_anchor2	loop_chr	loop_start	loop_end	gene_id	gene_list	gene_list_stripped	ensembl_gene_id	ensembl_id	ensembl	log2FC_y	hgnc_symbol	log_signed_contactFC
0	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000377939.5	ENST00000377939	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
1	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000463453.1	ENST00000463453	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
2	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000466994.5	ENST00000466994	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
3	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000483336.1	ENST00000483336	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
4	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000484435.1	ENST00000484435	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
5	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000485539.5	ENST00000485539	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
6	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000492476.1	ENST00000492476	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
7	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000496329.1	ENST00000496329	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
8	8	chr1	6105000	6110000	chr1	6240000	6245000	shared			0.0	0.0	shared	135000	8			uncategorized	ctrl	15.270481	0.5414823	0.8553917	0.03482447	0.5964	0.0164		0.8293455113240956					chr1	6105000	6245000	ENST00000377939.5,ENST00000463453.1,ENST00000466994.5,ENST00000483336.1,ENST00000484435.1,ENST00000485539.5,ENST00000492476.1,ENST00000496329.1,ENST00000496676.5	ENST00000496676.5	ENST00000496676	ENSG00000158286	ENSG00000158286	ENSG00000158286.13	-0.732746452502256	RNF207	0.44664647175124816
9	29	chr1	9782500	9787500	chr1	9862500	9867500	shared	0.0491330547021674	0.0387432988699654	-0.342747137055419	-0.342747137055419	shared	80000	29	stable	stable	inter-TAD	ctrl	10.14769	8.275272	0.188543	0.034904007	0.511	0.0631999999999999	0.6748699925967264	0.8426933688204861	0.8351787170344092	0.6900573742705363	0.1678233762237596	-0.1451213427638729	chr1	9782500	9867500	ENST00000361311.4,ENST00000377298.9,ENST00000650348.1	ENST00000361311.4	ENST00000361311	ENSG00000171603	ENSG00000171603	ENSG00000171603.18	0.623634060353272	CLSTN1	-0.6789168553991893
10	29	chr1	9782500	9787500	chr1	9862500	9867500	shared	0.0491330547021674	0.0387432988699654	-0.342747137055419	-0.342747137055419	shared	80000	29	stable	stable	inter-TAD	ctrl	10.14769	8.275272	0.188543	0.034904007	0.511	0.0631999999999999	0.6748699925967264	0.8426933688204861	0.8351787170344092	0.6900573742705363	0.1678233762237596	-0.1451213427638729	chr1	9782500	9867500	ENST00000361311.4,ENST00000377298.9,ENST00000650348.1	ENST00000377298.9	ENST00000377298	ENSG00000171603	ENSG00000171603	ENSG00000171603.18	0.623634060353272	CLSTN1	-0.6789168553991893
11	29	chr1	9782500	9787500	chr1	9862500	9867500	shared	0.0491330547021674	0.0387432988699654	-0.342747137055419	-0.342747137055419	shared	80000	29	stable	stable	inter-TAD	ctrl	10.14769	8.275272	0.188543	0.034904007	0.511	0.0631999999999999	0.6748699925967264	0.8426933688204861	0.8351787170344092	0.6900573742705363	0.1678233762237596	-0.1451213427638729	chr1	9782500	9867500	ENST00000361311.4,ENST00000377298.9,ENST00000650348.1	ENST00000650348.1	ENST00000650348	ENSG00000171603	ENSG00000171603	ENSG00000171603.18	0.623634060353272	CLSTN1	-0.6789168553991893
12	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000264205.10	ENST00000264205	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
13	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000357071.8	ENST00000357071	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
14	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000374893.11	ENST00000374893	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
15	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000415912.6	ENST00000415912	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
16	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000436918.6	ENST00000436918	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
17	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000463334.2	ENST00000463334	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
18	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000470394.1	ENST00000470394	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
19	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000473505.5	ENST00000473505	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
20	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000481130.6	ENST00000481130	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
21	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000526194.5	ENST00000526194	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
22	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000527991.2	ENST00000527991	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
23	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000528294.1	ENST00000528294	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
24	71	chr1	21222500	21227500	chr1	21572500	21577500	shared	0.0154270209249217	0.0100328246473248	-0.6207316530741869	-0.6207316530741869	shared	350000	71	stable	stable	intra-TAD	ctrl	3.0997772	0.0941708	0.188543	0.039089043	0.5409999999999999	0.0348	0.463573872805017	0.4565809593601253	0.5980565956259969	0.6520914039067366	-0.0069929134448917	0.0540348082807397	chr1	21222500	21577500	ENST00000264205.10,ENST00000357071.8,ENST00000374893.11,ENST00000415912.6,ENST00000436918.6,ENST00000463334.2,ENST00000470394.1,ENST00000473505.5,ENST00000481130.6,ENST00000526194.5,ENST00000527991.2,ENST00000528294.1,ENST00000649812.1	ENST00000649812.1	ENST00000649812	ENSG00000117298	ENSG00000117298	ENSG00000117298.16	0.74270746861273	ECE1	-0.4271928345387412
25	77	chr1	22665000	22670000	chr1	22960000	22965000	shared	0.025277722740995	0.0275363466968164	0.1234706692773536	0.1234706692773536	shared	295000	77	stable	stable	uncategorized	ctrl	15.107338	0.23542725	0.19892533	0.053034913	0.5062	0.0319999999999999	0.5874706286737447	0.558544841079831	0.4923354562093378	0.5366890131372872	-0.0289257875939136	0.0443535569279494	chr1	22665000	22965000	ENST00000374627.1,ENST00000374630.8,ENST00000374632.7,ENST00000400191.7,ENST00000465676.1,ENST00000490436.1,ENST00000544305.5	ENST00000374627.1	ENST00000374627	ENSG00000133216	ENSG00000133216	ENSG00000133216.17	0.881382578763505	EPHB2	-0.18052378738917127
