chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr1	3865000	3870000	chr1	3890000	3895000	773	778	0	0	0.4550220437	0.0000000000	0.0000000000
chr1	5510000	5515000	chr1	5620000	5625000	1102	1124	0	0	0.6981033429	0.0000000000	0.0000000000
chr1	5635000	5640000	chr1	5745000	5750000	1127	1149	0	0	0.7115022247	0.0000000000	0.0000000000
chr1	5990000	5995000	chr1	6015000	6020000	1198	1203	0	0	0.3402402131	0.0000225943	0.0000227652
chr1	6350000	6355000	chr1	6405000	6410000	1270	1281	0	0	0.6295792263	0.0000000000	0.0000000000
chr1	6720000	6725000	chr1	6890000	6895000	1344	1378	0	0	0.5350187231	0.0000000000	0.0000000000
chr1	7225000	7230000	chr1	7300000	7305000	1445	1460	0	0	0.3349520736	0.0000000041	0.0000000055
chr1	7670000	7675000	chr1	7750000	7755000	1534	1550	0	0	0.7180985344	0.0000000000	0.0000000000
chr1	7980000	7985000	chr1	8010000	8015000	1596	1602	0	0	0.5144705950	0.0000000000	0.0000000000
chr1	8020000	8025000	chr1	8095000	8100000	1604	1619	0	0	0.4494756499	0.0000000000	0.0000000000
chr1	8020000	8025000	chr1	8310000	8315000	1604	1662	0	0	0.4952447421	0.0000000000	0.0000000000
chr1	8025000	8030000	chr1	8240000	8245000	1605	1648	0	0	0.4467133540	0.0000000000	0.0000000000
chr1	8025000	8030000	chr1	8190000	8195000	1605	1638	0	0	0.3768621939	0.0000000000	0.0000000000
chr1	8105000	8110000	chr1	8305000	8310000	1621	1661	0	0	0.3938814357	0.0000000000	0.0000000000
chr1	8240000	8245000	chr1	8305000	8310000	1648	1661	0	0	0.3445021811	0.0000000019	0.0000000026
chr1	8330000	8335000	chr1	8340000	8345000	1666	1668	0	0	0.3905133486	0.0000007465	0.0000007947
chr1	8375000	8380000	chr1	8725000	8730000	1675	1745	0	0	0.4267732999	0.0000000000	0.0000000000
chr1	8375000	8380000	chr1	8385000	8390000	1675	1677	0	0	0.3325840489	0.0000334266	0.0000335713
chr1	8375000	8380000	chr1	8435000	8440000	1675	1687	0	0	0.3170319367	0.0000003259	0.0000003565
chr1	8560000	8565000	chr1	8720000	8725000	1712	1744	0	0	0.6521602255	0.0000000000	0.0000000000
chr1	8565000	8570000	chr1	8665000	8670000	1713	1733	0	0	0.4336248539	0.0000000000	0.0000000000
chr1	8735000	8740000	chr1	8845000	8850000	1747	1769	0	0	0.3591854849	0.0000000007	0.0000000010
chr1	8885000	8890000	chr1	8890000	8895000	1777	1778	0	0	0.3661799991	0.0000029884	0.0000030834
chr1	8915000	8920000	chr1	8990000	8995000	1783	1798	0	0	0.4755737017	0.0000000000	0.0000000000
chr1	9010000	9015000	chr1	9095000	9100000	1802	1819	0	0	0.4672228083	0.0000000000	0.0000000000
chr1	9115000	9120000	chr1	9195000	9200000	1823	1839	0	0	0.5338225648	0.0000000000	0.0000000000
chr1	9270000	9275000	chr1	9485000	9490000	1854	1897	0	0	0.4765922072	0.0000000000	0.0000000000
chr1	9495000	9500000	chr1	9575000	9580000	1899	1915	0	0	0.7069453938	0.0000000000	0.0000000000
chr1	9720000	9725000	chr1	9855000	9860000	1944	1971	0	0	0.3396858305	0.0000000516	0.0000000609
chr1	9780000	9785000	chr1	9860000	9865000	1956	1972	0	0	0.6541698725	0.0000000000	0.0000000000
chr1	9875000	9880000	chr1	9935000	9940000	1975	1987	0	0	0.5661643226	0.0000000000	0.0000000000
chr1	9950000	9955000	chr1	10025000	10030000	1990	2005	0	0	0.3739319660	0.0000000000	0.0000000001
chr1	9945000	9950000	chr1	10150000	10155000	1989	2030	0	0	0.3725946471	0.0000000000	0.0000000001
chr1	10045000	10050000	chr1	10145000	10150000	2009	2029	0	0	0.3153688366	0.0000000336	0.0000000405
chr1	10215000	10220000	chr1	10335000	10340000	2043	2067	0	0	0.3863805557	0.0000000000	0.0000000000
chr1	10380000	10385000	chr1	10420000	10425000	2076	2084	0	0	0.3827845838	0.0000000002	0.0000000003
chr1	10435000	10440000	chr1	10485000	10490000	2087	2097	0	0	0.4892610720	0.0000000000	0.0000000000
chr1	10510000	10515000	chr1	10865000	10870000	2102	2173	0	0	0.4465377963	0.0000000000	0.0000000000
chr1	10505000	10510000	chr1	10945000	10950000	2101	2189	0	0	0.4168020088	0.0000000000	0.0000000000
chr1	10520000	10525000	chr1	10595000	10600000	2104	2119	0	0	0.3393951927	0.0000000216	0.0000000267
chr1	10965000	10970000	chr1	11005000	11010000	2193	2201	0	0	0.3592756128	0.0000000974	0.0000001117
chr1	11065000	11070000	chr1	11090000	11095000	2213	2218	0	0	0.4597215193	0.0000000017	0.0000000024
chr1	11655000	11660000	chr1	11720000	11725000	2331	2344	0	0	0.5722579022	0.0000000000	0.0000000000
chr1	11835000	11840000	chr1	11895000	11900000	2367	2379	0	0	0.6761564567	0.0000000000	0.0000000000
chr1	12120000	12125000	chr1	12205000	12210000	2424	2441	0	0	0.6582364844	0.0000000000	0.0000000000
chr1	12315000	12320000	chr1	12630000	12635000	2463	2526	0	0	0.4311663437	0.0000000000	0.0000000000
chr1	12470000	12475000	chr1	12610000	12615000	2494	2522	0	0	0.3811064421	0.0000000000	0.0000000000
chr1	12545000	12550000	chr1	12600000	12605000	2509	2520	0	0	0.3465563499	0.0000000027	0.0000000036
chr1	12630000	12635000	chr1	12650000	12655000	2526	2530	0	0	0.3291376235	0.0000008207	0.0000008718
chr1	13360000	13365000	chr1	13425000	13430000	2672	2685	0	0	0.5569767632	0.0000000000	0.0000000000
chr1	13665000	13670000	chr1	13810000	13815000	2733	2762	0	0	0.6801787182	0.0000000000	0.0000000000
chr1	13660000	13665000	chr1	13725000	13730000	2732	2745	0	0	0.3066267941	0.0000001149	0.0000001307
chr1	13750000	13755000	chr1	13805000	13810000	2750	2761	0	0	0.4052118541	0.0000000000	0.0000000000
chr1	13825000	13830000	chr1	13955000	13960000	2765	2791	0	0	0.6961436251	0.0000000000	0.0000000000
chr1	14925000	14930000	chr1	15025000	15030000	2985	3005	0	0	0.3533248617	0.0000000004	0.0000000006
chr1	15060000	15065000	chr1	15100000	15105000	3012	3020	0	0	0.6829682233	0.0000000000	0.0000000000
chr1	15130000	15135000	chr1	15270000	15275000	3026	3054	0	0	0.5363365959	0.0000000000	0.0000000000
chr1	15150000	15155000	chr1	15195000	15200000	3030	3039	0	0	0.3095963758	0.0000002725	0.0000002999
chr1	15325000	15330000	chr1	15420000	15425000	3065	3084	0	0	0.6085914343	0.0000000000	0.0000000000
chr1	15315000	15320000	chr1	15500000	15505000	3063	3100	0	0	0.4671852701	0.0000000000	0.0000000000
chr1	15435000	15440000	chr1	15500000	15505000	3087	3100	0	0	0.3768519460	0.0000000005	0.0000000008
chr1	15535000	15540000	chr1	15570000	15575000	3107	3114	0	0	0.3593226229	0.0000000053	0.0000000070
chr1	15590000	15595000	chr1	15735000	15740000	3118	3147	0	0	0.5035575856	0.0000000000	0.0000000000
chr1	15795000	15800000	chr1	15985000	15990000	3159	3197	0	0	0.3929316535	0.0000002799	0.0000003077
chr1	15800000	15805000	chr1	15830000	15835000	3160	3166	0	0	0.3971128293	0.0000000391	0.0000000468
chr1	16245000	16250000	chr1	16355000	16360000	3249	3271	0	0	0.4005395189	0.0000000004	0.0000000006
chr1	16380000	16385000	chr1	16475000	16480000	3276	3295	0	0	0.3993538485	0.0000000020	0.0000000028
chr1	16500000	16505000	chr1	16625000	16630000	3300	3325	0	0	0.4850576278	0.0000000001	0.0000000001
