gene_id	gene_name	gene_type	chr	start	end	strand
ENSG00000171603	CLSTN1	protein_coding	chr1	9728926	9823984	-
ENSG00000083444	PLOD1	protein_coding	chr1	11934205	11975538	+
ENSG00000117298	ECE1	protein_coding	chr1	21217247	21345572	-
ENSG00000133216	EPHB2	protein_coding	chr1	22710839	22921500	+
ENSG00000090020	SLC9A1	protein_coding	chr1	27098809	27166981	-
ENSG00000204138	PHACTR4	protein_coding	chr1	28369582	28500364	+
ENSG00000134690	CDCA8	protein_coding	chr1	37692481	37709719	+
ENSG00000117399	CDC20	protein_coding	chr1	43358981	43363203	+
ENSG00000142949	PTPRF	protein_coding	chr1	43525187	43623666	+
ENSG00000169174	PCSK9	protein_coding	chr1	55039445	55064852	+
ENSG00000134243	SORT1	protein_coding	chr1	109309568	109397918	-
ENSG00000183508	TENT5C	protein_coding	chr1	117606048	117628389	+
ENSG00000092621	PHGDH	protein_coding	chr1	119648411	119744218	+
ENSG00000143368	SF3B4	protein_coding	chr1	149923317	149927803	-
ENSG00000143458	GABPB2	protein_coding	chr1	151070578	151125542	+
ENSG00000163191	S100A11	protein_coding	chr1	152032506	152047907	-
ENSG00000143614	GATAD2B	protein_coding	chr1	153789030	153923360	-
ENSG00000160712	IL6R	protein_coding	chr1	154405193	154469450	+
ENSG00000163344	PMVK	protein_coding	chr1	154924740	154936719	-
ENSG00000272405	ENSG00000272405	lncRNA	chr1	156641666	156644887	-
ENSG00000116260	QSOX1	protein_coding	chr1	180154869	180204030	+
ENSG00000058085	LAMC2	protein_coding	chr1	183186238	183245127	+
ENSG00000058668	ATP2B4	protein_coding	chr1	203626832	203744081	+
ENSG00000162896	PIGR	protein_coding	chr1	206928522	206946466	-
ENSG00000117322	CR2	protein_coding	chr1	207453024	207489895	+
ENSG00000170385	SLC30A1	protein_coding	chr1	211571568	211579161	-
ENSG00000143819	EPHX1	protein_coding	chr1	225810124	225845563	+
ENSG00000143641	GALNT2	protein_coding	chr1	230057990	230282122	+
ENSG00000049323	LTBP1	protein_coding	chr2	32946953	33399509	+
ENSG00000152518	ZFP36L2	protein_coding	chr2	43222402	43226606	-
ENSG00000169564	PCBP1	protein_coding	chr2	70087477	70089203	+
ENSG00000169607	CKAP2L	protein_coding	chr2	112736349	112764664	-
ENSG00000196950	SLC39A10	protein_coding	chr2	195575977	195737702	+
ENSG00000204186	ZDBF2	protein_coding	chr2	206274663	206314427	+
ENSG00000138363	ATIC	protein_coding	chr2	215311956	215349773	+
ENSG00000135919	SERPINE2	protein_coding	chr2	223975045	224039318	-
ENSG00000163283	ALPP	protein_coding	chr2	232378724	232382889	+
ENSG00000134107	BHLHE40	protein_coding	chr3	4979437	4985323	+
ENSG00000196639	HRH1	protein_coding	chr3	11137093	11263557	+
ENSG00000172936	MYD88	protein_coding	chr3	38138552	38143024	+
ENSG00000163814	CDCP1	protein_coding	chr3	45082277	45146422	-
ENSG00000173402	DAG1	protein_coding	chr3	49468713	49535618	+
ENSG00000234667	ACTL11P	unitary_pseudogene	chr3	49873347	49877305	-
