chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr16	34575001	34595000	chr16	34575001	36340000	1765000	20000	61.34375	95.0%	0.001	2093.5029478596825
chr2	90380001	90400000	chr2	89590001	90400000	810000	20000	91.23666666666666	95.0%	0.001	148.45746235061407
chr20	31050001	31070000	chr20	29505001	31070000	1565000	20000	17.92562724014337	95.0%	0.004	48.094253330386316
chr3	93445001	93485000	chr3	93445001	94490000	1045000	40000	37.50702702702703	95.0%	0.001	34.92097297844926
chr20	31050001	31070000	chr20	31050001	31515000	465000	20000	73.12202380952381	95.0%	0.001	30.679566066323797
chr10	42065001	42085000	chr10	42065001	42775000	710000	20000	23.130281690140844	95.0%	0.001	22.100451760463592
chr21	9245001	9265000	chr21	9245001	9370000	125000	20000	112.11	99.0%	0.027	16.33820216178549
chr1	219800001	219825000	chr1	218860001	219825000	965000	25000	7.61761658031088	95.0%	0.005	15.601751022697098
chr16	77220001	77245000	chr16	77220001	77670000	450000	25000	10.182222222222222	96.0%	0.034	14.88212260640324
chr8	64245001	64265000	chr8	63460001	64265000	805000	20000	7.990683229813665	95.0%	0.01	13.313409993375718
chr1	94785001	94810000	chr1	94470001	94810000	340000	25000	14.96764705882353	98.0%	0.013999999999999999	12.775263472161255
chr15	97895001	97915000	chr15	97895001	98210000	315000	20000	12.948412698412698	96.0%	0.019	12.411767788176975
chr1	192475001	192495000	chr1	192475001	193035000	560000	20000	9.205357142857142	95.0%	0.007	12.243575374803422
chr2	225665001	225685000	chr2	225665001	227120000	1455000	20000	4.262027491408935	96.0%	0.026	11.950779912212921
chr1	172390001	172410000	chr1	171990001	172410000	420000	20000	12.380952380952381	98.0%	0.006	11.751187932897913
chr14	35395001	35420000	chr14	35130001	35420000	290000	25000	13.255172413793105	95.0%	0.0085	11.218072469242356
chr14	54325001	54345000	chr14	53925001	54345000	420000	20000	9.366071428571429	98.0%	0.012	11.11662361913236
chr2	37405001	37425000	chr2	37405001	37890000	485000	20000	15.724226804123711	98.0%	0.024	10.803135401719867
chr15	32655001	32675000	chr15	32655001	33000000	345000	20000	12.03623188405797	96.0%	0.058	10.766382979036218
chr1	107740001	107760000	chr1	107090001	107760000	670000	20000	7.263059701492537	95.0%	0.006500000000000001	10.521521322690027
chr20	29880001	29900000	chr20	29205001	29900000	695000	20000	10.235611510791367	99.0%	0.099	10.213953608333927
chr9	112050001	112080000	chr9	111740001	112080000	340000	30000	13.659313725490195	95.0%	0.009000000000000001	10.154143917868373
chr12	76025001	76045000	chr12	75485001	76045000	560000	20000	7.683035714285714	96.0%	0.009	9.68282491119607
