chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr1	2650001	2665000	chr1	2345001	2665000	320000	15000	10.484375	95.0%	0.14200000000000002	-0.2307778521397564
chr1	2640001	2660000	chr1	2640001	3010000	370000	20000	11.416666666666666	95.0%	0.056	0.6215476862798159
chr1	2780001	2810000	chr1	2780001	3070000	290000	30000	8.232758620689655	95.0%	0.647	-0.6924279366851556
chr1	3410001	3440000	chr1	2815001	3440000	625000	30000	4.6226666666666665	95.0%	0.505	-1.2553533069697222
chr1	3570001	3600000	chr1	3465001	3600000	135000	30000	16.067901234567902	95.0%	0.974	-2.1028319940786377
chr1	3605001	3625000	chr1	3460001	3625000	165000	20000	15.795454545454545	95.0%	0.099	0.9467132532742022
chr1	4920001	4945000	chr1	4750001	4945000	195000	25000	15.753846153846155	95.0%	0.777	-0.8205588062297462
chr1	5740001	5755000	chr1	5655001	5755000	100000	15000	22.633333333333336	95.0%	0.876	-0.8062556057081958
chr1	5620001	5640000	chr1	5620001	5975000	355000	20000	9.517605633802816	95.0%	0.08	0.4126526920412663
chr1	7630001	7650000	chr1	7035001	7650000	615000	20000	5.25	95.0%	0.603	-1.133795049436994
chr1	7205001	7225000	chr1	6930001	7225000	295000	20000	10.10593220338983	95.0%	0.55	-1.30366946872874
chr1	8715001	8740000	chr1	8340001	8740000	400000	25000	10.6575	95.0%	0.2225	-0.33456319767262455
chr1	7960001	7980000	chr1	7960001	8380000	420000	20000	8.788690476190476	95.0%	0.9824999999999999	-7.465788589278473
chr1	7910001	7930000	chr1	7660001	7930000	270000	20000	12.49074074074074	95.0%	0.6619999999999999	-1.4360974072025654
chr1	9215001	9235000	chr1	9110001	9235000	125000	20000	22.62	95.0%	0.837	-1.2309999328625771
chr1	9240001	9265000	chr1	9240001	9480000	240000	25000	11.95	95.0%	0.917	-1.9747453226215652
chr1	9275001	9295000	chr1	9275001	9580000	305000	20000	10.405737704918034	95.0%	0.1	0.46812007846294607
chr1	8745001	8775000	chr1	8525001	8775000	250000	30000	14.866666666666667	95.0%	0.953	-4.429817084154417
chr1	8905001	8930000	chr1	8905001	9285000	380000	25000	9.610526315789475	95.0%	0.089	0.33300173388785786
chr1	10350001	10375000	chr1	10055001	10375000	320000	25000	11.634375	95.0%	0.673	-1.3417468938185335
chr1	10470001	10490000	chr1	10470001	11015000	545000	20000	5.91743119266055	95.0%	0.968	-4.260683696376868
chr1	10495001	10515000	chr1	10495001	10970000	475000	20000	7.713157894736842	95.0%	0.085	0.12998696832709214
chr1	11620001	11640000	chr1	11180001	11640000	460000	20000	7.475543478260869	95.0%	0.134	0.012283370167041972
chr1	11590001	11610000	chr1	11295001	11610000	315000	20000	10.257936507936508	95.0%	0.859	-2.6241922644620015
chr1	11025001	11060000	chr1	11025001	11370000	345000	35000	8.175983436853002	95.0%	0.779	-0.9097404568997423
chr1	11460001	11490000	chr1	11460001	11580000	120000	30000	22.604166666666668	95.0%	0.7695	-1.0230398503256315
chr1	12460001	12480000	chr1	12460001	12620000	160000	20000	18.5390625	95.0%	0.136	-0.8900121020926791
chr1	12485001	12520000	chr1	12485001	12620000	135000	35000	23.978835978835978	95.0%	0.938	-2.1261810358867415
chr1	12315001	12345000	chr1	12315001	12665000	350000	30000	12.64047619047619	95.0%	0.505	-3.5405929030624326
chr1	12675001	12700000	chr1	12235001	12700000	465000	25000	7.294623655913979	95.0%	0.945	-5.1719942253229885
chr1	13100001	13120000	chr1	13100001	13425000	325000	20000	5.6525423728813555	95.0%	0.256	0.24968105580844874
chr1	12865001	12885000	chr1	12680001	12885000	205000	20000	5.689024390243903	95.0%	0.907	-0.6264389719583323
chr1	13955001	13975000	chr1	13650001	13975000	325000	20000	10.553846153846154	95.0%	0.324	-1.0415894986887937
chr1	15105001	15125000	chr1	15105001	15305000	200000	20000	15.11875	95.0%	0.9125000000000001	-2.7548553879736817
chr1	16065001	16080000	chr1	16065001	16245000	180000	15000	15.314814814814815	95.0%	0.0335	-0.7534767656137856
chr1	15285001	15310000	chr1	15060001	15310000	250000	25000	13.724	95.0%	0.27949999999999997	-1.1096880432580867
chr1	15040001	15060000	chr1	14765001	15060000	295000	20000	8.711864406779661	95.0%	0.717	-1.191264867147715
chr1	15815001	15835000	chr1	15815001	16045000	230000	20000	10.027173913043478	95.0%	0.965	-2.6822200600498984
chr1	16500001	16520000	chr1	16500001	16765000	265000	20000	13.60576923076923	95.0%	0.888	-4.517684535049449
