chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr11	122630000	122635000	chr11	122850000	122855000	0,0,0	7.9859724	0.99988663	2.8521328	5.411027	6.4209104	4.27606	1.92742	9.085862
chr11	117820000	117825000	chr11	118055000	118060000	0,0,0	5.8455744	0.9979364	3.0545661	2.5946484	3.3160706	3.8776045	1.1021677	6.183959
chr11	113305000	113310000	chr11	113795000	113800000	0,0,0	5.3028183	0.9955009	2.7214801	2.475813	2.8727274	3.2037165	1.3899931	5.4044394
chr11	33360000	33365000	chr11	33685000	33690000	0,0,0	14.053268	0.9999999	3.8062549	10.546834	13.029529	6.6900463	3.7680624	16.06501
chr11	47175000	47180000	chr11	47355000	47360000	0,0,0	7.8442497	1.0	3.2522213	3.574126	4.0328484	3.1857245	1.5565934	6.3627253
chr11	129115000	129120000	chr11	129330000	129335000	0,0,0	9.901634	0.9999788	4.891262	3.2942822	6.86082	7.8324933	1.9951706	10.760743
chr11	2305000	2310000	chr11	2415000	2420000	0,0,0	9.585118	1.0	3.889815	3.363542	5.905996	5.183056	1.4950562	8.172871
chr11	12330000	12335000	chr11	12960000	12965000	0,0,0	6.1893673	0.9995203	2.6343124	3.4711993	5.123875	4.5576115	1.9279084	7.6431217
chr11	76920000	76925000	chr11	77040000	77045000	0,0,0	6.219581	1.0	2.5105524	3.2650802	4.0707717	3.2185042	1.5901507	6.1207976
chr11	131060000	131065000	chr11	131670000	131675000	0,0,0	6.0317874	1.0	3.05332	2.7457802	3.1381795	3.4060318	1.6471472	5.8467255
chr11	112220000	112225000	chr11	112275000	112280000	0,0,0	5.4130826	1.0	2.1414387	2.6401238	3.6985786	2.9675074	1.0593327	5.3142843
chr11	57565000	57570000	chr11	57640000	57645000	0,0,0	5.7800303	1.0	2.234164	2.4734993	3.1026812	2.3284385	1.0571101	4.5271044
chr11	94620000	94625000	chr11	94895000	94900000	0,0,0	8.675124	0.9999763	3.1812043	6.070091	7.5036306	5.254603	2.4316237	10.650239
chr11	39365000	39370000	chr11	40125000	40130000	0,0,0	4.4169188	1.0	2.1908705	2.232645	2.3506775	2.4181228	1.1454676	4.402696
chr11	122625000	122630000	chr11	123020000	123025000	0,0,0	7.275606	1.0	2.6965852	3.594396	5.046022	3.7638254	1.5903453	6.9588437
chr11	46385000	46390000	chr11	46530000	46535000	0,0,0	7.003285	1.0	2.7019353	3.4123755	5.002874	3.9577687	1.8219988	6.9909916
chr11	15935000	15940000	chr11	16605000	16610000	0,0,0	4.2953873	0.9939156	2.2217546	1.927407	2.885208	3.3893127	1.279137	5.1025634
chr11	35485000	35490000	chr11	36265000	36270000	0,0,0	5.3046618	0.9967017	2.93286	1.3000073	3.3425722	4.5593896	0.88475996	5.714952
chr11	76805000	76810000	chr11	76915000	76920000	0,0,0	5.224348	0.99644053	2.1667829	2.5427318	3.885016	3.3785255	1.4244114	5.6387315
chr11	19905000	19910000	chr11	20350000	20355000	0,0,0	7.4442496	1.0	2.6931796	4.1723833	4.2737675	2.6689107	1.6441654	6.3776956
chr11	117840000	117845000	chr11	117945000	117950000	0,0,0	11.487146	1.0	4.6845765	5.421499	7.4190598	6.1285257	2.1091645	10.947636
chr11	11930000	11935000	chr11	12040000	12045000	0,0,0	6.040534	1.0	2.2497175	3.0594628	3.9837534	2.903227	1.1969357	5.62275
chr11	34510000	34515000	chr11	34890000	34895000	0,0,0	11.412379	0.99999523	5.413895	4.3300395	7.9023147	8.409344	2.088848	12.258268
chr11	86605000	86610000	chr11	86820000	86825000	0,0,0	6.163664	0.9986455	2.774155	3.733007	3.8088198	3.28677	1.6698383	6.604998
chr11	3455000	3460000	chr11	4070000	4075000	0,0,0	14.665164	1.0	4.803561	4.836727	5.540523	3.2754967	1.7442482	7.5748096
chr11	82715000	82720000	chr11	83815000	83820000	0,0,0	5.732454	0.99747556	3.2477915	2.0196497	3.0417054	4.187111	1.1700195	5.9823556
chr11	71085000	71090000	chr11	71340000	71345000	0,0,0	7.731163	1.0	2.9551733	3.009737	3.580427	2.5930645	1.2340901	5.2683864
chr11	56840000	56845000	chr11	57250000	57255000	0,0,0	12.28874	1.0	4.8445687	4.7115397	6.2902756	4.946543	2.3803065	9.134579
chr11	18115000	18120000	chr11	18765000	18770000	0,0,0	4.8447814	0.9980463	2.292951	2.9488368	3.65998	3.61748	1.492949	6.2386684
chr11	12325000	12330000	chr11	13155000	13160000	0,0,0	6.3920336	1.0	3.0697353	2.236817	2.7941604	2.8294477	1.3960356	4.8177295
chr11	59820000	59825000	chr11	59915000	59920000	0,0,0	6.5663953	1.0	2.869579	2.3579216	3.570734	3.303461	1.3618859	5.3993917
chr11	60825000	60830000	chr11	61170000	61175000	0,0,0	14.2546835	1.0	5.7469473	5.434984	6.4893355	5.0415483	2.5777924	9.872645
chr11	95835000	95840000	chr11	96390000	96395000	0,0,0	7.067965	0.99999315	2.813384	6.5032353	7.932365	6.1102276	2.564687	11.890882
chr11	100575000	100580000	chr11	100930000	100935000	0,0,0	9.817968	0.99999934	3.7170527	6.2033052	10.700577	8.701244	2.5507479	14.215293
chr11	121250000	121255000	chr11	121590000	121595000	0,0,0	6.329378	0.99942344	2.3707616	4.507144	5.0358987	3.4528723	2.139458	7.459223
chr11	19560000	19565000	chr11	19900000	19905000	0,0,0	16.121508	1.0	5.711895	6.5368795	10.120136	7.4598837	2.6249416	13.270444
chr11	67080000	67085000	chr11	67315000	67320000	0,0,0	7.2340603	1.0	3.0184827	3.0241408	4.0548754	3.4258273	1.3829833	6.113952
chr11	100680000	100685000	chr11	100930000	100935000	0,0,0	5.5137024	0.99741566	2.5739677	2.6768317	3.6258152	3.5795088	1.2009418	5.9589148
